"seed_id","master_seed","hidden_reference_seed","hidden_per_plate","expected_hidden_total","expected_training_total","derivation"
"CONF01",202609001,202612001,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF02",202609002,202612002,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF03",202609003,202612003,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF04",202609004,202612004,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF05",202609005,202612005,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF06",202609006,202612006,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF07",202609007,202612007,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF08",202609008,202612008,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF09",202609009,202612009,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF10",202609010,202612010,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF11",202609011,202612011,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF12",202609012,202612012,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF13",202609013,202612013,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF14",202609014,202612014,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF15",202609015,202612015,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF16",202609016,202612016,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF17",202609017,202612017,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF18",202609018,202612018,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF19",202609019,202612019,2,10,40,"master_seed + 3000; frozen before full-grid execution"
"CONF20",202609020,202612020,2,10,40,"master_seed + 3000; frozen before full-grid execution"
