"dataset","seed_id","assignment","batch","n_units"
"clinical_fiams","SPLIT03","external","5",5
"clinical_fiams","SPLIT04","external","5",5
"clinical_fiams","SPLIT05","external","5",5
"clinical_fiams","SPLIT06","external","5",5
"clinical_fiams","SPLIT07","external","5",5
"clinical_fiams","SPLIT08","external","5",5
"clinical_fiams","SPLIT09","external","5",5
"clinical_fiams","SPLIT10","external","5",5
"clinical_fiams","SPLIT01","hidden","5",1
"clinical_fiams","SPLIT02","hidden","5",1
"clinical_fiams","SPLIT03","hidden","5",1
"clinical_fiams","SPLIT04","hidden","5",1
"clinical_fiams","SPLIT05","hidden","5",1
"clinical_fiams","SPLIT06","hidden","5",1
"clinical_fiams","SPLIT07","hidden","5",1
"clinical_fiams","SPLIT08","hidden","5",1
"clinical_fiams","SPLIT09","hidden","5",1
"clinical_fiams","SPLIT10","hidden","5",1
"clinical_fiams","SPLIT01","training","5",7
"clinical_fiams","SPLIT02","training","5",7
"clinical_fiams","SPLIT03","training","5",7
"clinical_fiams","SPLIT04","training","5",7
"clinical_fiams","SPLIT05","training","5",7
"clinical_fiams","SPLIT06","training","5",7
"clinical_fiams","SPLIT07","training","5",7
"clinical_fiams","SPLIT08","training","5",7
"clinical_fiams","SPLIT09","training","5",7
"clinical_fiams","SPLIT10","training","5",7
"clinical_fiams","SPLIT01","external","6",5
"clinical_fiams","SPLIT02","external","6",5
"clinical_fiams","SPLIT03","external","6",5
"clinical_fiams","SPLIT04","external","6",5
"clinical_fiams","SPLIT05","external","6",5
"clinical_fiams","SPLIT06","external","6",5
"clinical_fiams","SPLIT07","external","6",5
"clinical_fiams","SPLIT08","external","6",5
"clinical_fiams","SPLIT09","external","6",5
"clinical_fiams","SPLIT10","external","6",5
"clinical_fiams","SPLIT01","hidden","6",1
"clinical_fiams","SPLIT02","hidden","6",1
"clinical_fiams","SPLIT03","hidden","6",1
"clinical_fiams","SPLIT04","hidden","6",1
"clinical_fiams","SPLIT05","hidden","6",1
"clinical_fiams","SPLIT06","hidden","6",1
"clinical_fiams","SPLIT07","hidden","6",1
"clinical_fiams","SPLIT08","hidden","6",1
"clinical_fiams","SPLIT09","hidden","6",1
"clinical_fiams","SPLIT10","hidden","6",1
"clinical_fiams","SPLIT01","training","6",7
"clinical_fiams","SPLIT02","training","6",7
"clinical_fiams","SPLIT03","training","6",7
"clinical_fiams","SPLIT04","training","6",7
"clinical_fiams","SPLIT05","training","6",7
"clinical_fiams","SPLIT06","training","6",7
"clinical_fiams","SPLIT07","training","6",7
"clinical_fiams","SPLIT08","training","6",7
"clinical_fiams","SPLIT09","training","6",7
"clinical_fiams","SPLIT10","training","6",7
"clinical_fiams","SPLIT01","external","7",5
"clinical_fiams","SPLIT02","external","7",5
"clinical_fiams","SPLIT03","external","7",5
"clinical_fiams","SPLIT04","external","7",5
"clinical_fiams","SPLIT05","external","7",5
"clinical_fiams","SPLIT06","external","7",5
"clinical_fiams","SPLIT07","external","7",5
"clinical_fiams","SPLIT08","external","7",5
"clinical_fiams","SPLIT09","external","7",5
"clinical_fiams","SPLIT10","external","7",5
"clinical_fiams","SPLIT01","hidden","7",1
"clinical_fiams","SPLIT02","hidden","7",1
"clinical_fiams","SPLIT03","hidden","7",1
"clinical_fiams","SPLIT04","hidden","7",1
"clinical_fiams","SPLIT05","hidden","7",1
"clinical_fiams","SPLIT06","hidden","7",1
"clinical_fiams","SPLIT07","hidden","7",1
"clinical_fiams","SPLIT08","hidden","7",1
"clinical_fiams","SPLIT09","hidden","7",1
"clinical_fiams","SPLIT10","hidden","7",1
"clinical_fiams","SPLIT01","training","7",18
"clinical_fiams","SPLIT02","training","7",18
"clinical_fiams","SPLIT03","training","7",18
"clinical_fiams","SPLIT04","training","7",18
"clinical_fiams","SPLIT05","training","7",18
"clinical_fiams","SPLIT06","training","7",18
"clinical_fiams","SPLIT07","training","7",18
"clinical_fiams","SPLIT08","training","7",18
"clinical_fiams","SPLIT09","training","7",18
"clinical_fiams","SPLIT10","training","7",18
"clinical_fiams","SPLIT01","external","8",4
"clinical_fiams","SPLIT02","external","8",4
"clinical_fiams","SPLIT03","external","8",4
"clinical_fiams","SPLIT04","external","8",4
"clinical_fiams","SPLIT05","external","8",4
"clinical_fiams","SPLIT06","external","8",4
"clinical_fiams","SPLIT07","external","8",4
"clinical_fiams","SPLIT08","external","8",4
"clinical_fiams","SPLIT09","external","8",4
"clinical_fiams","SPLIT10","external","8",4
"clinical_fiams","SPLIT01","hidden","8",1
"clinical_fiams","SPLIT02","hidden","8",1
"clinical_fiams","SPLIT03","hidden","8",1
"clinical_fiams","SPLIT04","hidden","8",1
"clinical_fiams","SPLIT05","hidden","8",1
"clinical_fiams","SPLIT06","hidden","8",1
"clinical_fiams","SPLIT07","hidden","8",1
"clinical_fiams","SPLIT08","hidden","8",1
"clinical_fiams","SPLIT09","hidden","8",1
"clinical_fiams","SPLIT10","hidden","8",1
"clinical_fiams","SPLIT01","training","8",7
"clinical_fiams","SPLIT02","training","8",7
"clinical_fiams","SPLIT03","training","8",7
"clinical_fiams","SPLIT04","training","8",7
"clinical_fiams","SPLIT05","training","8",7
"clinical_fiams","SPLIT06","training","8",7
"clinical_fiams","SPLIT07","training","8",7
"clinical_fiams","SPLIT08","training","8",7
"clinical_fiams","SPLIT09","training","8",7
"clinical_fiams","SPLIT10","training","8",7
