"dataset_key","split_number","method_id","split_id","method","method_order","task_id","selection_rule","output_dir","status"
"clinical_fiams",7,"qc_rfsc","SPLIT07","QC-RFSC",4,"REF_212","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT07/qc_rfsc","planned"
"clinical_fiams",7,"serrf","SPLIT07","SERRF",6,"REF_213","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT07/serrf","planned"
"clinical_fiams",7,"winn_auto_qc","SPLIT07","WiNN auto (QC)",7,"REF_214","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT07/winn_auto_qc","planned"
"clinical_fiams",7,"winn_auto_batch_qc","SPLIT07","WiNN auto-batch (QC)",8,"REF_215","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT07/winn_auto_batch_qc","planned"
"clinical_fiams",7,"winn_fixed_no_qc","SPLIT07","WiNN fixed default (no QC)",9,"REF_216","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT07/winn_fixed_no_qc","planned"
"clinical_fiams",8,"raw","SPLIT08","Raw",1,"REF_217","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT08/raw","planned"
"clinical_fiams",8,"combat","SPLIT08","ComBat",2,"REF_218","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT08/combat","planned"
"clinical_fiams",8,"qc_rlsc","SPLIT08","QC-RLSC",3,"REF_219","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT08/qc_rlsc","planned"
"clinical_fiams",8,"qc_rfsc","SPLIT08","QC-RFSC",4,"REF_220","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT08/qc_rfsc","planned"
"clinical_fiams",8,"serrf","SPLIT08","SERRF",6,"REF_221","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT08/serrf","planned"
"clinical_fiams",8,"winn_auto_qc","SPLIT08","WiNN auto (QC)",7,"REF_222","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT08/winn_auto_qc","planned"
"clinical_fiams",8,"winn_auto_batch_qc","SPLIT08","WiNN auto-batch (QC)",8,"REF_223","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT08/winn_auto_batch_qc","planned"
"clinical_fiams",8,"winn_fixed_no_qc","SPLIT08","WiNN fixed default (no QC)",9,"REF_224","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT08/winn_fixed_no_qc","planned"
"clinical_fiams",9,"raw","SPLIT09","Raw",1,"REF_225","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT09/raw","planned"
"clinical_fiams",9,"combat","SPLIT09","ComBat",2,"REF_226","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT09/combat","planned"
"clinical_fiams",9,"qc_rlsc","SPLIT09","QC-RLSC",3,"REF_227","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT09/qc_rlsc","planned"
"clinical_fiams",9,"qc_rfsc","SPLIT09","QC-RFSC",4,"REF_228","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT09/qc_rfsc","planned"
"clinical_fiams",9,"serrf","SPLIT09","SERRF",6,"REF_229","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT09/serrf","planned"
"clinical_fiams",9,"winn_auto_qc","SPLIT09","WiNN auto (QC)",7,"REF_230","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT09/winn_auto_qc","planned"
"clinical_fiams",9,"winn_auto_batch_qc","SPLIT09","WiNN auto-batch (QC)",8,"REF_231","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT09/winn_auto_batch_qc","planned"
"clinical_fiams",9,"winn_fixed_no_qc","SPLIT09","WiNN fixed default (no QC)",9,"REF_232","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT09/winn_fixed_no_qc","planned"
"clinical_fiams",10,"raw","SPLIT10","Raw",1,"REF_233","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT10/raw","planned"
"clinical_fiams",10,"combat","SPLIT10","ComBat",2,"REF_234","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT10/combat","planned"
"clinical_fiams",10,"qc_rlsc","SPLIT10","QC-RLSC",3,"REF_235","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT10/qc_rlsc","planned"
"clinical_fiams",10,"qc_rfsc","SPLIT10","QC-RFSC",4,"REF_236","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT10/qc_rfsc","planned"
"clinical_fiams",10,"serrf","SPLIT10","SERRF",6,"REF_237","training-QC score only within split","results/reference_splits/clinical_fiams/SPLIT10/serrf","planned"
"clinical_fiams",10,"winn_auto_qc","SPLIT10","WiNN auto (QC)",7,"REF_238","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT10/winn_auto_qc","planned"
"clinical_fiams",10,"winn_auto_batch_qc","SPLIT10","WiNN auto-batch (QC)",8,"REF_239","package auto using training QCs only","results/reference_splits/clinical_fiams/SPLIT10/winn_auto_batch_qc","planned"
"clinical_fiams",10,"winn_fixed_no_qc","SPLIT10","WiNN fixed default (no QC)",9,"REF_240","fixed; no selection","results/reference_splits/clinical_fiams/SPLIT10/winn_fixed_no_qc","planned"
"batchcorr_set1",1,"raw","SPLIT01","Raw",1,"REF_241","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT01/raw","planned"
"batchcorr_set1",1,"combat","SPLIT01","ComBat",2,"REF_242","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT01/combat","planned"
"batchcorr_set1",1,"qc_rlsc","SPLIT01","QC-RLSC",3,"REF_243","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT01/qc_rlsc","planned"
"batchcorr_set1",1,"qc_rfsc","SPLIT01","QC-RFSC",4,"REF_244","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT01/qc_rfsc","planned"
"batchcorr_set1",1,"serrf","SPLIT01","SERRF",6,"REF_245","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT01/serrf","planned"
"batchcorr_set1",1,"winn_auto_qc","SPLIT01","WiNN auto (QC)",7,"REF_246","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT01/winn_auto_qc","planned"
"batchcorr_set1",1,"winn_auto_batch_qc","SPLIT01","WiNN auto-batch (QC)",8,"REF_247","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT01/winn_auto_batch_qc","planned"
"batchcorr_set1",1,"winn_fixed_no_qc","SPLIT01","WiNN fixed default (no QC)",9,"REF_248","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT01/winn_fixed_no_qc","planned"
"batchcorr_set1",2,"raw","SPLIT02","Raw",1,"REF_249","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT02/raw","planned"
"batchcorr_set1",2,"combat","SPLIT02","ComBat",2,"REF_250","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT02/combat","planned"
"batchcorr_set1",2,"qc_rlsc","SPLIT02","QC-RLSC",3,"REF_251","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT02/qc_rlsc","planned"
"batchcorr_set1",2,"qc_rfsc","SPLIT02","QC-RFSC",4,"REF_252","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT02/qc_rfsc","planned"
"batchcorr_set1",2,"serrf","SPLIT02","SERRF",6,"REF_253","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT02/serrf","planned"
"batchcorr_set1",2,"winn_auto_qc","SPLIT02","WiNN auto (QC)",7,"REF_254","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT02/winn_auto_qc","planned"
"batchcorr_set1",2,"winn_auto_batch_qc","SPLIT02","WiNN auto-batch (QC)",8,"REF_255","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT02/winn_auto_batch_qc","planned"
"batchcorr_set1",2,"winn_fixed_no_qc","SPLIT02","WiNN fixed default (no QC)",9,"REF_256","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT02/winn_fixed_no_qc","planned"
"batchcorr_set1",3,"raw","SPLIT03","Raw",1,"REF_257","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT03/raw","planned"
"batchcorr_set1",3,"combat","SPLIT03","ComBat",2,"REF_258","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT03/combat","planned"
"batchcorr_set1",3,"qc_rlsc","SPLIT03","QC-RLSC",3,"REF_259","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT03/qc_rlsc","planned"
"batchcorr_set1",3,"qc_rfsc","SPLIT03","QC-RFSC",4,"REF_260","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT03/qc_rfsc","planned"
"batchcorr_set1",3,"serrf","SPLIT03","SERRF",6,"REF_261","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT03/serrf","planned"
"batchcorr_set1",3,"winn_auto_qc","SPLIT03","WiNN auto (QC)",7,"REF_262","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT03/winn_auto_qc","planned"
"batchcorr_set1",3,"winn_auto_batch_qc","SPLIT03","WiNN auto-batch (QC)",8,"REF_263","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT03/winn_auto_batch_qc","planned"
"batchcorr_set1",3,"winn_fixed_no_qc","SPLIT03","WiNN fixed default (no QC)",9,"REF_264","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT03/winn_fixed_no_qc","planned"
"batchcorr_set1",4,"raw","SPLIT04","Raw",1,"REF_265","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT04/raw","planned"
"batchcorr_set1",4,"combat","SPLIT04","ComBat",2,"REF_266","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT04/combat","planned"
"batchcorr_set1",4,"qc_rlsc","SPLIT04","QC-RLSC",3,"REF_267","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT04/qc_rlsc","planned"
"batchcorr_set1",4,"qc_rfsc","SPLIT04","QC-RFSC",4,"REF_268","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT04/qc_rfsc","planned"
"batchcorr_set1",4,"serrf","SPLIT04","SERRF",6,"REF_269","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT04/serrf","planned"
"batchcorr_set1",4,"winn_auto_qc","SPLIT04","WiNN auto (QC)",7,"REF_270","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT04/winn_auto_qc","planned"
"batchcorr_set1",4,"winn_auto_batch_qc","SPLIT04","WiNN auto-batch (QC)",8,"REF_271","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT04/winn_auto_batch_qc","planned"
"batchcorr_set1",4,"winn_fixed_no_qc","SPLIT04","WiNN fixed default (no QC)",9,"REF_272","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT04/winn_fixed_no_qc","planned"
"batchcorr_set1",5,"raw","SPLIT05","Raw",1,"REF_273","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT05/raw","planned"
"batchcorr_set1",5,"combat","SPLIT05","ComBat",2,"REF_274","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT05/combat","planned"
"batchcorr_set1",5,"qc_rlsc","SPLIT05","QC-RLSC",3,"REF_275","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT05/qc_rlsc","planned"
"batchcorr_set1",5,"qc_rfsc","SPLIT05","QC-RFSC",4,"REF_276","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT05/qc_rfsc","planned"
"batchcorr_set1",5,"serrf","SPLIT05","SERRF",6,"REF_277","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT05/serrf","planned"
"batchcorr_set1",5,"winn_auto_qc","SPLIT05","WiNN auto (QC)",7,"REF_278","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT05/winn_auto_qc","planned"
"batchcorr_set1",5,"winn_auto_batch_qc","SPLIT05","WiNN auto-batch (QC)",8,"REF_279","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT05/winn_auto_batch_qc","planned"
"batchcorr_set1",5,"winn_fixed_no_qc","SPLIT05","WiNN fixed default (no QC)",9,"REF_280","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT05/winn_fixed_no_qc","planned"
"batchcorr_set1",6,"raw","SPLIT06","Raw",1,"REF_281","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT06/raw","planned"
"batchcorr_set1",6,"combat","SPLIT06","ComBat",2,"REF_282","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT06/combat","planned"
"batchcorr_set1",6,"qc_rlsc","SPLIT06","QC-RLSC",3,"REF_283","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT06/qc_rlsc","planned"
"batchcorr_set1",6,"qc_rfsc","SPLIT06","QC-RFSC",4,"REF_284","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT06/qc_rfsc","planned"
"batchcorr_set1",6,"serrf","SPLIT06","SERRF",6,"REF_285","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT06/serrf","planned"
"batchcorr_set1",6,"winn_auto_qc","SPLIT06","WiNN auto (QC)",7,"REF_286","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT06/winn_auto_qc","planned"
"batchcorr_set1",6,"winn_auto_batch_qc","SPLIT06","WiNN auto-batch (QC)",8,"REF_287","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT06/winn_auto_batch_qc","planned"
"batchcorr_set1",6,"winn_fixed_no_qc","SPLIT06","WiNN fixed default (no QC)",9,"REF_288","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT06/winn_fixed_no_qc","planned"
"batchcorr_set1",7,"raw","SPLIT07","Raw",1,"REF_289","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT07/raw","planned"
"batchcorr_set1",7,"combat","SPLIT07","ComBat",2,"REF_290","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT07/combat","planned"
"batchcorr_set1",7,"qc_rlsc","SPLIT07","QC-RLSC",3,"REF_291","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT07/qc_rlsc","planned"
"batchcorr_set1",7,"qc_rfsc","SPLIT07","QC-RFSC",4,"REF_292","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT07/qc_rfsc","planned"
"batchcorr_set1",7,"serrf","SPLIT07","SERRF",6,"REF_293","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT07/serrf","planned"
"batchcorr_set1",7,"winn_auto_qc","SPLIT07","WiNN auto (QC)",7,"REF_294","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT07/winn_auto_qc","planned"
"batchcorr_set1",7,"winn_auto_batch_qc","SPLIT07","WiNN auto-batch (QC)",8,"REF_295","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT07/winn_auto_batch_qc","planned"
"batchcorr_set1",7,"winn_fixed_no_qc","SPLIT07","WiNN fixed default (no QC)",9,"REF_296","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT07/winn_fixed_no_qc","planned"
"batchcorr_set1",8,"raw","SPLIT08","Raw",1,"REF_297","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT08/raw","planned"
"batchcorr_set1",8,"combat","SPLIT08","ComBat",2,"REF_298","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT08/combat","planned"
"batchcorr_set1",8,"qc_rlsc","SPLIT08","QC-RLSC",3,"REF_299","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT08/qc_rlsc","planned"
"batchcorr_set1",8,"qc_rfsc","SPLIT08","QC-RFSC",4,"REF_300","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT08/qc_rfsc","planned"
"batchcorr_set1",8,"serrf","SPLIT08","SERRF",6,"REF_301","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT08/serrf","planned"
"batchcorr_set1",8,"winn_auto_qc","SPLIT08","WiNN auto (QC)",7,"REF_302","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT08/winn_auto_qc","planned"
"batchcorr_set1",8,"winn_auto_batch_qc","SPLIT08","WiNN auto-batch (QC)",8,"REF_303","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT08/winn_auto_batch_qc","planned"
"batchcorr_set1",8,"winn_fixed_no_qc","SPLIT08","WiNN fixed default (no QC)",9,"REF_304","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT08/winn_fixed_no_qc","planned"
"batchcorr_set1",9,"raw","SPLIT09","Raw",1,"REF_305","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT09/raw","planned"
"batchcorr_set1",9,"combat","SPLIT09","ComBat",2,"REF_306","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT09/combat","planned"
"batchcorr_set1",9,"qc_rlsc","SPLIT09","QC-RLSC",3,"REF_307","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT09/qc_rlsc","planned"
"batchcorr_set1",9,"qc_rfsc","SPLIT09","QC-RFSC",4,"REF_308","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT09/qc_rfsc","planned"
"batchcorr_set1",9,"serrf","SPLIT09","SERRF",6,"REF_309","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT09/serrf","planned"
"batchcorr_set1",9,"winn_auto_qc","SPLIT09","WiNN auto (QC)",7,"REF_310","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT09/winn_auto_qc","planned"
"batchcorr_set1",9,"winn_auto_batch_qc","SPLIT09","WiNN auto-batch (QC)",8,"REF_311","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT09/winn_auto_batch_qc","planned"
"batchcorr_set1",9,"winn_fixed_no_qc","SPLIT09","WiNN fixed default (no QC)",9,"REF_312","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT09/winn_fixed_no_qc","planned"
"batchcorr_set1",10,"raw","SPLIT10","Raw",1,"REF_313","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT10/raw","planned"
"batchcorr_set1",10,"combat","SPLIT10","ComBat",2,"REF_314","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT10/combat","planned"
"batchcorr_set1",10,"qc_rlsc","SPLIT10","QC-RLSC",3,"REF_315","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT10/qc_rlsc","planned"
"batchcorr_set1",10,"qc_rfsc","SPLIT10","QC-RFSC",4,"REF_316","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT10/qc_rfsc","planned"
"batchcorr_set1",10,"serrf","SPLIT10","SERRF",6,"REF_317","training-QC score only within split","results/reference_splits/batchcorr_set1/SPLIT10/serrf","planned"
"batchcorr_set1",10,"winn_auto_qc","SPLIT10","WiNN auto (QC)",7,"REF_318","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT10/winn_auto_qc","planned"
"batchcorr_set1",10,"winn_auto_batch_qc","SPLIT10","WiNN auto-batch (QC)",8,"REF_319","package auto using training QCs only","results/reference_splits/batchcorr_set1/SPLIT10/winn_auto_batch_qc","planned"
"batchcorr_set1",10,"winn_fixed_no_qc","SPLIT10","WiNN fixed default (no QC)",9,"REF_320","fixed; no selection","results/reference_splits/batchcorr_set1/SPLIT10/winn_fixed_no_qc","planned"
"sacurine",1,"raw","SPLIT01","Raw",1,"REF_321","fixed; no selection","results/reference_splits/sacurine/SPLIT01/raw","planned"
"sacurine",1,"combat","SPLIT01","ComBat",2,"REF_322","fixed; no selection","results/reference_splits/sacurine/SPLIT01/combat","planned"
"sacurine",1,"qc_rlsc","SPLIT01","QC-RLSC",3,"REF_323","training-QC score only within split","results/reference_splits/sacurine/SPLIT01/qc_rlsc","planned"
"sacurine",1,"qc_rfsc","SPLIT01","QC-RFSC",4,"REF_324","training-QC score only within split","results/reference_splits/sacurine/SPLIT01/qc_rfsc","planned"
"sacurine",1,"serrf","SPLIT01","SERRF",6,"REF_325","training-QC score only within split","results/reference_splits/sacurine/SPLIT01/serrf","planned"
"sacurine",1,"winn_auto_qc","SPLIT01","WiNN auto (QC)",7,"REF_326","package auto using training QCs only","results/reference_splits/sacurine/SPLIT01/winn_auto_qc","planned"
"sacurine",1,"winn_auto_batch_qc","SPLIT01","WiNN auto-batch (QC)",8,"REF_327","package auto using training QCs only","results/reference_splits/sacurine/SPLIT01/winn_auto_batch_qc","planned"
"sacurine",1,"winn_fixed_no_qc","SPLIT01","WiNN fixed default (no QC)",9,"REF_328","fixed; no selection","results/reference_splits/sacurine/SPLIT01/winn_fixed_no_qc","planned"
"sacurine",2,"raw","SPLIT02","Raw",1,"REF_329","fixed; no selection","results/reference_splits/sacurine/SPLIT02/raw","planned"
"sacurine",2,"combat","SPLIT02","ComBat",2,"REF_330","fixed; no selection","results/reference_splits/sacurine/SPLIT02/combat","planned"
"sacurine",2,"qc_rlsc","SPLIT02","QC-RLSC",3,"REF_331","training-QC score only within split","results/reference_splits/sacurine/SPLIT02/qc_rlsc","planned"
"sacurine",2,"qc_rfsc","SPLIT02","QC-RFSC",4,"REF_332","training-QC score only within split","results/reference_splits/sacurine/SPLIT02/qc_rfsc","planned"
"sacurine",2,"serrf","SPLIT02","SERRF",6,"REF_333","training-QC score only within split","results/reference_splits/sacurine/SPLIT02/serrf","planned"
"sacurine",2,"winn_auto_qc","SPLIT02","WiNN auto (QC)",7,"REF_334","package auto using training QCs only","results/reference_splits/sacurine/SPLIT02/winn_auto_qc","planned"
"sacurine",2,"winn_auto_batch_qc","SPLIT02","WiNN auto-batch (QC)",8,"REF_335","package auto using training QCs only","results/reference_splits/sacurine/SPLIT02/winn_auto_batch_qc","planned"
"sacurine",2,"winn_fixed_no_qc","SPLIT02","WiNN fixed default (no QC)",9,"REF_336","fixed; no selection","results/reference_splits/sacurine/SPLIT02/winn_fixed_no_qc","planned"
"sacurine",3,"raw","SPLIT03","Raw",1,"REF_337","fixed; no selection","results/reference_splits/sacurine/SPLIT03/raw","planned"
"sacurine",3,"combat","SPLIT03","ComBat",2,"REF_338","fixed; no selection","results/reference_splits/sacurine/SPLIT03/combat","planned"
"sacurine",3,"qc_rlsc","SPLIT03","QC-RLSC",3,"REF_339","training-QC score only within split","results/reference_splits/sacurine/SPLIT03/qc_rlsc","planned"
"sacurine",3,"qc_rfsc","SPLIT03","QC-RFSC",4,"REF_340","training-QC score only within split","results/reference_splits/sacurine/SPLIT03/qc_rfsc","planned"
"sacurine",3,"serrf","SPLIT03","SERRF",6,"REF_341","training-QC score only within split","results/reference_splits/sacurine/SPLIT03/serrf","planned"
"sacurine",3,"winn_auto_qc","SPLIT03","WiNN auto (QC)",7,"REF_342","package auto using training QCs only","results/reference_splits/sacurine/SPLIT03/winn_auto_qc","planned"
"sacurine",3,"winn_auto_batch_qc","SPLIT03","WiNN auto-batch (QC)",8,"REF_343","package auto using training QCs only","results/reference_splits/sacurine/SPLIT03/winn_auto_batch_qc","planned"
"sacurine",3,"winn_fixed_no_qc","SPLIT03","WiNN fixed default (no QC)",9,"REF_344","fixed; no selection","results/reference_splits/sacurine/SPLIT03/winn_fixed_no_qc","planned"
"sacurine",4,"raw","SPLIT04","Raw",1,"REF_345","fixed; no selection","results/reference_splits/sacurine/SPLIT04/raw","planned"
"sacurine",4,"combat","SPLIT04","ComBat",2,"REF_346","fixed; no selection","results/reference_splits/sacurine/SPLIT04/combat","planned"
"sacurine",4,"qc_rlsc","SPLIT04","QC-RLSC",3,"REF_347","training-QC score only within split","results/reference_splits/sacurine/SPLIT04/qc_rlsc","planned"
"sacurine",4,"qc_rfsc","SPLIT04","QC-RFSC",4,"REF_348","training-QC score only within split","results/reference_splits/sacurine/SPLIT04/qc_rfsc","planned"
"sacurine",4,"serrf","SPLIT04","SERRF",6,"REF_349","training-QC score only within split","results/reference_splits/sacurine/SPLIT04/serrf","planned"
"sacurine",4,"winn_auto_qc","SPLIT04","WiNN auto (QC)",7,"REF_350","package auto using training QCs only","results/reference_splits/sacurine/SPLIT04/winn_auto_qc","planned"
"sacurine",4,"winn_auto_batch_qc","SPLIT04","WiNN auto-batch (QC)",8,"REF_351","package auto using training QCs only","results/reference_splits/sacurine/SPLIT04/winn_auto_batch_qc","planned"
"sacurine",4,"winn_fixed_no_qc","SPLIT04","WiNN fixed default (no QC)",9,"REF_352","fixed; no selection","results/reference_splits/sacurine/SPLIT04/winn_fixed_no_qc","planned"
"sacurine",5,"raw","SPLIT05","Raw",1,"REF_353","fixed; no selection","results/reference_splits/sacurine/SPLIT05/raw","planned"
"sacurine",5,"combat","SPLIT05","ComBat",2,"REF_354","fixed; no selection","results/reference_splits/sacurine/SPLIT05/combat","planned"
"sacurine",5,"qc_rlsc","SPLIT05","QC-RLSC",3,"REF_355","training-QC score only within split","results/reference_splits/sacurine/SPLIT05/qc_rlsc","planned"
"sacurine",5,"qc_rfsc","SPLIT05","QC-RFSC",4,"REF_356","training-QC score only within split","results/reference_splits/sacurine/SPLIT05/qc_rfsc","planned"
"sacurine",5,"serrf","SPLIT05","SERRF",6,"REF_357","training-QC score only within split","results/reference_splits/sacurine/SPLIT05/serrf","planned"
"sacurine",5,"winn_auto_qc","SPLIT05","WiNN auto (QC)",7,"REF_358","package auto using training QCs only","results/reference_splits/sacurine/SPLIT05/winn_auto_qc","planned"
"sacurine",5,"winn_auto_batch_qc","SPLIT05","WiNN auto-batch (QC)",8,"REF_359","package auto using training QCs only","results/reference_splits/sacurine/SPLIT05/winn_auto_batch_qc","planned"
"sacurine",5,"winn_fixed_no_qc","SPLIT05","WiNN fixed default (no QC)",9,"REF_360","fixed; no selection","results/reference_splits/sacurine/SPLIT05/winn_fixed_no_qc","planned"
"sacurine",6,"raw","SPLIT06","Raw",1,"REF_361","fixed; no selection","results/reference_splits/sacurine/SPLIT06/raw","planned"
"sacurine",6,"combat","SPLIT06","ComBat",2,"REF_362","fixed; no selection","results/reference_splits/sacurine/SPLIT06/combat","planned"
"sacurine",6,"qc_rlsc","SPLIT06","QC-RLSC",3,"REF_363","training-QC score only within split","results/reference_splits/sacurine/SPLIT06/qc_rlsc","planned"
"sacurine",6,"qc_rfsc","SPLIT06","QC-RFSC",4,"REF_364","training-QC score only within split","results/reference_splits/sacurine/SPLIT06/qc_rfsc","planned"
"sacurine",6,"serrf","SPLIT06","SERRF",6,"REF_365","training-QC score only within split","results/reference_splits/sacurine/SPLIT06/serrf","planned"
"sacurine",6,"winn_auto_qc","SPLIT06","WiNN auto (QC)",7,"REF_366","package auto using training QCs only","results/reference_splits/sacurine/SPLIT06/winn_auto_qc","planned"
"sacurine",6,"winn_auto_batch_qc","SPLIT06","WiNN auto-batch (QC)",8,"REF_367","package auto using training QCs only","results/reference_splits/sacurine/SPLIT06/winn_auto_batch_qc","planned"
"sacurine",6,"winn_fixed_no_qc","SPLIT06","WiNN fixed default (no QC)",9,"REF_368","fixed; no selection","results/reference_splits/sacurine/SPLIT06/winn_fixed_no_qc","planned"
"sacurine",7,"raw","SPLIT07","Raw",1,"REF_369","fixed; no selection","results/reference_splits/sacurine/SPLIT07/raw","planned"
"sacurine",7,"combat","SPLIT07","ComBat",2,"REF_370","fixed; no selection","results/reference_splits/sacurine/SPLIT07/combat","planned"
"sacurine",7,"qc_rlsc","SPLIT07","QC-RLSC",3,"REF_371","training-QC score only within split","results/reference_splits/sacurine/SPLIT07/qc_rlsc","planned"
"sacurine",7,"qc_rfsc","SPLIT07","QC-RFSC",4,"REF_372","training-QC score only within split","results/reference_splits/sacurine/SPLIT07/qc_rfsc","planned"
"sacurine",7,"serrf","SPLIT07","SERRF",6,"REF_373","training-QC score only within split","results/reference_splits/sacurine/SPLIT07/serrf","planned"
"sacurine",7,"winn_auto_qc","SPLIT07","WiNN auto (QC)",7,"REF_374","package auto using training QCs only","results/reference_splits/sacurine/SPLIT07/winn_auto_qc","planned"
