"candidate_id","par_prior","span","ntree","coCV","Frule","use_injection","jitter_eps","test","spline_method","acorr_fdr","anova_fdr","normalization","scale_by_batch","pelt_penalty","params","dataset","method","selection_class"
3,,,200,30,0.8,,,"","",,,"",,,"ntree=200; coCV=30; Frule=0.8","Sacurine","QC-RFSC","explicit_grid"
4,,,500,30,0.8,,,"","",,,"",,,"ntree=500; coCV=30; Frule=0.8","Sacurine","QC-RFSC","explicit_grid"
1,,,,,,,0,"","",,,"",,,"jitter_eps=0","Sacurine","SERRF","explicit_grid"
2,,,,,,,1e-06,"","",,,"",,,"jitter_eps=1e-06","Sacurine","SERRF","explicit_grid"
3,,,,,,,1e-05,"","",,,"",,,"jitter_eps=1e-05","Sacurine","SERRF","explicit_grid"
1,,,,,,,,"","",,,"",,,"par_prior=TRUE (fixed published/default setting)","WaveICA adenocarcinoma","ComBat","fixed"
1,,0.3,,,,,,"","",,,"",,,"span=0.3","WaveICA adenocarcinoma","QC-RLSC","explicit_grid"
2,,0.5,,,,,,"","",,,"",,,"span=0.5","WaveICA adenocarcinoma","QC-RLSC","explicit_grid"
3,,0.7,,,,,,"","",,,"",,,"span=0.7","WaveICA adenocarcinoma","QC-RLSC","explicit_grid"
4,,0.9,,,,,,"","",,,"",,,"span=0.9","WaveICA adenocarcinoma","QC-RLSC","explicit_grid"
1,,,200,20,0.8,,,"","",,,"",,,"ntree=200; coCV=20; Frule=0.8","WaveICA adenocarcinoma","QC-RFSC","explicit_grid"
2,,,500,20,0.8,,,"","",,,"",,,"ntree=500; coCV=20; Frule=0.8","WaveICA adenocarcinoma","QC-RFSC","explicit_grid"
3,,,200,30,0.8,,,"","",,,"",,,"ntree=200; coCV=30; Frule=0.8","WaveICA adenocarcinoma","QC-RFSC","explicit_grid"
4,,,500,30,0.8,,,"","",,,"",,,"ntree=500; coCV=30; Frule=0.8","WaveICA adenocarcinoma","QC-RFSC","explicit_grid"
1,,,,,,,0,"","",,,"",,,"jitter_eps=0","WaveICA adenocarcinoma","SERRF","explicit_grid"
2,,,,,,,1e-06,"","",,,"",,,"jitter_eps=1e-06","WaveICA adenocarcinoma","SERRF","explicit_grid"
3,,,,,,,1e-05,"","",,,"",,,"jitter_eps=1e-05","WaveICA adenocarcinoma","SERRF","explicit_grid"
