"seed_id","confounding_type","level","scenario_id","method_id","task_id","status"
"CONF02","run_order",0.25,"CONF02_run_order_0p25","winn_fixed_no_qc","CONF_022","planned"
"CONF03","run_order",0.25,"CONF03_run_order_0p25","winn_fixed_no_qc","CONF_023","planned"
"CONF04","run_order",0.25,"CONF04_run_order_0p25","winn_fixed_no_qc","CONF_024","planned"
"CONF05","run_order",0.25,"CONF05_run_order_0p25","winn_fixed_no_qc","CONF_025","planned"
"CONF06","run_order",0.25,"CONF06_run_order_0p25","winn_fixed_no_qc","CONF_026","planned"
"CONF07","run_order",0.25,"CONF07_run_order_0p25","winn_fixed_no_qc","CONF_027","planned"
"CONF08","run_order",0.25,"CONF08_run_order_0p25","winn_fixed_no_qc","CONF_028","planned"
"CONF09","run_order",0.25,"CONF09_run_order_0p25","winn_fixed_no_qc","CONF_029","planned"
"CONF10","run_order",0.25,"CONF10_run_order_0p25","winn_fixed_no_qc","CONF_030","planned"
"CONF01","joint",0.25,"CONF01_joint_0p25","winn_fixed_no_qc","CONF_031","planned"
"CONF02","joint",0.25,"CONF02_joint_0p25","winn_fixed_no_qc","CONF_032","planned"
"CONF03","joint",0.25,"CONF03_joint_0p25","winn_fixed_no_qc","CONF_033","planned"
"CONF04","joint",0.25,"CONF04_joint_0p25","winn_fixed_no_qc","CONF_034","planned"
"CONF05","joint",0.25,"CONF05_joint_0p25","winn_fixed_no_qc","CONF_035","planned"
"CONF06","joint",0.25,"CONF06_joint_0p25","winn_fixed_no_qc","CONF_036","planned"
"CONF07","joint",0.25,"CONF07_joint_0p25","winn_fixed_no_qc","CONF_037","planned"
"CONF08","joint",0.25,"CONF08_joint_0p25","winn_fixed_no_qc","CONF_038","planned"
"CONF09","joint",0.25,"CONF09_joint_0p25","winn_fixed_no_qc","CONF_039","planned"
"CONF10","joint",0.25,"CONF10_joint_0p25","winn_fixed_no_qc","CONF_040","planned"
"CONF01","batch",0.5,"CONF01_batch_0p50","winn_fixed_no_qc","CONF_041","planned"
"CONF02","batch",0.5,"CONF02_batch_0p50","winn_fixed_no_qc","CONF_042","planned"
"CONF03","batch",0.5,"CONF03_batch_0p50","winn_fixed_no_qc","CONF_043","planned"
"CONF04","batch",0.5,"CONF04_batch_0p50","winn_fixed_no_qc","CONF_044","planned"
"CONF05","batch",0.5,"CONF05_batch_0p50","winn_fixed_no_qc","CONF_045","planned"
"CONF06","batch",0.5,"CONF06_batch_0p50","winn_fixed_no_qc","CONF_046","planned"
"CONF07","batch",0.5,"CONF07_batch_0p50","winn_fixed_no_qc","CONF_047","planned"
"CONF08","batch",0.5,"CONF08_batch_0p50","winn_fixed_no_qc","CONF_048","planned"
"CONF09","batch",0.5,"CONF09_batch_0p50","winn_fixed_no_qc","CONF_049","planned"
"CONF10","batch",0.5,"CONF10_batch_0p50","winn_fixed_no_qc","CONF_050","planned"
"CONF01","run_order",0.5,"CONF01_run_order_0p50","winn_fixed_no_qc","CONF_051","planned"
"CONF02","run_order",0.5,"CONF02_run_order_0p50","winn_fixed_no_qc","CONF_052","planned"
"CONF03","run_order",0.5,"CONF03_run_order_0p50","winn_fixed_no_qc","CONF_053","planned"
"CONF04","run_order",0.5,"CONF04_run_order_0p50","winn_fixed_no_qc","CONF_054","planned"
"CONF05","run_order",0.5,"CONF05_run_order_0p50","winn_fixed_no_qc","CONF_055","planned"
"CONF06","run_order",0.5,"CONF06_run_order_0p50","winn_fixed_no_qc","CONF_056","planned"
"CONF07","run_order",0.5,"CONF07_run_order_0p50","winn_fixed_no_qc","CONF_057","planned"
"CONF08","run_order",0.5,"CONF08_run_order_0p50","winn_fixed_no_qc","CONF_058","planned"
"CONF09","run_order",0.5,"CONF09_run_order_0p50","winn_fixed_no_qc","CONF_059","planned"
"CONF10","run_order",0.5,"CONF10_run_order_0p50","winn_fixed_no_qc","CONF_060","planned"
"CONF01","joint",0.5,"CONF01_joint_0p50","winn_fixed_no_qc","CONF_061","planned"
"CONF02","joint",0.5,"CONF02_joint_0p50","winn_fixed_no_qc","CONF_062","planned"
"CONF03","joint",0.5,"CONF03_joint_0p50","winn_fixed_no_qc","CONF_063","planned"
"CONF04","joint",0.5,"CONF04_joint_0p50","winn_fixed_no_qc","CONF_064","planned"
"CONF05","joint",0.5,"CONF05_joint_0p50","winn_fixed_no_qc","CONF_065","planned"
"CONF06","joint",0.5,"CONF06_joint_0p50","winn_fixed_no_qc","CONF_066","planned"
"CONF07","joint",0.5,"CONF07_joint_0p50","winn_fixed_no_qc","CONF_067","planned"
"CONF08","joint",0.5,"CONF08_joint_0p50","winn_fixed_no_qc","CONF_068","planned"
