"seed_id","object","features","injections","reference_object_sha256","portable_round9_sha256","portable_digits"
"SIM01","raw_intensity",1000,500,"c26a82004d6084e7f28595edacd63ad688e7ff3f8735569e69149e228a3bd295","3d2b081b2b59423767c174658d9b362d3fb091bbb453705c7d752caff1308e70",9
"SIM01","clean_ground_truth",1000,500,"20f15f65d022bc006365f4c9ccbd67f5a501589443c951c0f733300d1018e64b","d5ed62665ed897786c544538b6903b2b0c1b62e1248c7498f94afd008464e2b9",9
"SIM02","raw_intensity",1000,500,"c64376c91874a15ff1f7b0f50ff018f5a3bca8980e79c31a566bacd803dbded4","89eae3ebc76da3ce609b5fd49d6086ba4d442aed8da1b03874731a93a8fdc749",9
"SIM02","clean_ground_truth",1000,500,"fea3a6577f1f0df70cf13b598ec903a42920d4943af630e9b0ce36bd33f20b42","804ae71a7443ec6677d72700342e0c115be98005acf2e59bbeffad75edac7c50",9
"SIM03","raw_intensity",1000,500,"c59be660546906e76bf015d7d0c85f57a27d83160ed033d93cde17e7555abf07","904a40ab9ade1edae63d98b30d8897cde782b8bb7abc5e18f73bc5ef75f84860",9
"SIM03","clean_ground_truth",1000,500,"378c5760d3e3431cd15097f303d8e314c7b20caa33f9e32bff3276021cfdc71e","c419c14985bafb46436d4802ee4543d52342cf1e434da042a34f04d83f4605eb",9
"SIM04","raw_intensity",1000,500,"e6d7dd219e17dc71f78ef7f5e2c0532755c4fd944d3c1e0d7df2485b259569b0","93a8859d9e7fc8cedfd260b796b6cd0698f6002920ae202a054c88cef07e9b3f",9
"SIM04","clean_ground_truth",1000,500,"f5263c08b61df917dd552b8ace2e54d8558121891d3aca0d4f1f3a738b44406f","ef4c0f6608f11877e660cf9feb953354150d6df9b43f8f69f7ea702907834d0a",9
"SIM05","raw_intensity",1000,500,"cbf55fc5a34b0dd2ac76bb9c2e7549e278bd179fb269956dc9fd457c925456e2","0a7400f6c5fdf519641c1a5e237212944ae71b68fb4d9c128f56d472433fc972",9
"SIM05","clean_ground_truth",1000,500,"f772b665e338ebbded787b2c5bb2d4ce4b03aabd6b82d9a1400abdbf8b835e0e","90a09ae7b41337a3257fb43f55fdde1094f6026c757fd0186310c0ad13dc955f",9
"SIM06","raw_intensity",1000,500,"73a3dd093f9bb3cf2eedfe290b66fe2c7bd20b5cd3d5c535cb7359e3a33a1875","aa9eb60ee874513572fee93eef0566378441a6222a5e66baaeb239d2711229a2",9
"SIM06","clean_ground_truth",1000,500,"fc3f53c34c4a145f881150f33ab8a67cbcd70cd38a90c067b47ce7ce6a0c1e18","3ea65dafa33210c7759f2f0106576901df7c3ee8d3c9d191e5b666ea2286e171",9
"SIM07","raw_intensity",1000,500,"cc5360c1a11d1e1bf5c9f9baf417122ac74744fb6b5d772ca75f59d215307ad0","040c9da111aee60434951f2ee76d4b26db3706ebcd240caca857405aa8d21d85",9
"SIM07","clean_ground_truth",1000,500,"acbbffa078d70c9cf94a9dd9bf71cfaa7a96e9da07cf2323acf52189e909d83d","97bcb868d1b5a104771da8ff64736e688bc132c4c364a18bb46ec9907d69ed32",9
"SIM08","raw_intensity",1000,500,"892851badbc2abd92cb0a2a58731594743140fbb33d75846daedc60f379d38ff","3939e5b5d6bac316812aa09f6b3eec5df0f849ac2486a5eafd2897aa1e2bca57",9
"SIM08","clean_ground_truth",1000,500,"882e26b7bdf9e3380f55d84aa9e89b41d1d8caa02c22a098a678cbc96f788392","b0ee6288b0bd14203289e6760d3a7789aefb658d729ad99c3271a4ad4f196f55",9
"SIM09","raw_intensity",1000,500,"70b9283eb5c0459c230cf6f6cdca74c190698ed3c06d4faceb03d18c3dfb1419","72043c7bc7477a73ae85506f7e9a967c37a59a27eb9de4001c22e566c674b2d0",9
"SIM09","clean_ground_truth",1000,500,"22b69c03871936aa105dbef2646a2c543ef6fb58ffbd9a6a5bc5738fc2384517","f224db98148eb93952953e47923130c01cc38dbe801e54f50a2353afc0209e09",9
"SIM10","raw_intensity",1000,500,"0e0f10f3d24a0a58459e7f6147060ff810d1db1987aa936876ae634eaec13837","7e8364487d46eef6d48a0a5bd4cd9f35d43b1702de5adc82c15a84db49d8dcf3",9
"SIM10","clean_ground_truth",1000,500,"96604c56ea321e16c1aaa9809229aa171193bd5e582c44d8170555e66baf8fad","0bc3252c5abea358a0b0188f40b6872bab68ca6ea3146e9dca7f9b0baa5c6159",9
