"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units","metric_label","gate"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.0727686471322973,"lower",12752,"proportion","Residual GAM deviance","Selective/Selective"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.00205430716992057,"lower",536,"weighted R-squared","Batch weighted-PC R²","Selective/Selective"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","feature_repeatability_ratio_median",0.659272129860823,"higher",1594,"repeatability ratio","Feature repeatability","Selective/Selective"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","sample_replicate_pearson_median",0.990747863696587,"higher",267,"correlation","Sample Pearson","Selective/Selective"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","heldout_qc_cv_mean",13.5327320895589,"lower",1594,"percent","Held-out QC CV (%)","All/Selective"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.00520013836698004,"lower",12752,"proportion","Residual GAM deviance","All/Selective"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.0010438538305947,"lower",536,"weighted R-squared","Batch weighted-PC R²","All/Selective"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","feature_repeatability_ratio_median",0.636970558682562,"higher",1594,"repeatability ratio","Feature repeatability","All/Selective"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","sample_replicate_pearson_median",0.990870682832852,"higher",267,"correlation","Sample Pearson","All/Selective"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","heldout_qc_cv_mean",12.3946699037692,"lower",1594,"percent","Held-out QC CV (%)","Selective/All"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.0727630834493838,"lower",12752,"proportion","Residual GAM deviance","Selective/All"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.00194397036013825,"lower",536,"weighted R-squared","Batch weighted-PC R²","Selective/All"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","feature_repeatability_ratio_median",0.659676587204692,"higher",1594,"repeatability ratio","Feature repeatability","Selective/All"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","sample_replicate_pearson_median",0.990747147757201,"higher",267,"correlation","Sample Pearson","Selective/All"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","heldout_qc_cv_mean",13.5134759406473,"lower",1594,"percent","Held-out QC CV (%)","All/All"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","residual_run_order_gam_mean_deviance",0.00519147469752825,"lower",12752,"proportion","Residual GAM deviance","All/All"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","batch_weighted_pc_r2_categorical",0.000995782155015914,"lower",536,"weighted R-squared","Batch weighted-PC R²","All/All"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","feature_repeatability_ratio_median",0.637410705558402,"higher",1594,"repeatability ratio","Feature repeatability","All/All"
"clinical_fiams","Clinical FIA-MS","G_AA","all/all","sample_replicate_pearson_median",0.990914257339101,"higher",267,"correlation","Sample Pearson","All/All"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","heldout_qc_cv_mean",26.6652760811313,"lower",199,"percent","Held-out QC CV (%)","Selective/Selective"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","residual_run_order_gam_mean_deviance",0.043772965202549,"lower",1990,"proportion","Residual GAM deviance","Selective/Selective"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","batch_weighted_pc_r2_categorical",0.000567147968917397,"lower",710,"weighted R-squared","Batch weighted-PC R²","Selective/Selective"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","feature_repeatability_ratio_median",0.695315540683156,"higher",199,"repeatability ratio","Feature repeatability","Selective/Selective"
"batchcorr_set1","BatchCorr Set 1","G_SS","selective/selective","sample_replicate_pearson_median",0.957541057965195,"higher",352,"correlation","Sample Pearson","Selective/Selective"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","heldout_qc_cv_mean",28.4664171686162,"lower",199,"percent","Held-out QC CV (%)","All/Selective"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.000826500461473387,"lower",1990,"proportion","Residual GAM deviance","All/Selective"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.000779443758318777,"lower",710,"weighted R-squared","Batch weighted-PC R²","All/Selective"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","feature_repeatability_ratio_median",0.682738476706889,"higher",199,"repeatability ratio","Feature repeatability","All/Selective"
"batchcorr_set1","BatchCorr Set 1","G_AS","all/selective","sample_replicate_pearson_median",0.957378256759523,"higher",352,"correlation","Sample Pearson","All/Selective"
"batchcorr_set1","BatchCorr Set 1","G_SA","selective/all","heldout_qc_cv_mean",26.7656305295088,"lower",199,"percent","Held-out QC CV (%)","Selective/All"
