"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"heldout_qc_cv_mean",16.0925710818008,"lower",2488,"percent","","mtbls79","combat","ComBat","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00296422829581994,"lower",19904,"proportion","","mtbls79","combat","ComBat","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.141715985886593,"lower",19904,"proportion","","mtbls79","combat","ComBat","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0287481539807132,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Batch weighted-PC R²"
"heldout_qc_cv_mean",182.843579133277,"lower",2488,"percent","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0,"lower",19904,"proportion","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0965669642695464,"lower",19904,"proportion","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.195482996167312,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Batch weighted-PC R²"
"heldout_qc_cv_mean",10.4280805137948,"lower",2488,"percent","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0028637459807074,"lower",19904,"proportion","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.156433139273831,"lower",19904,"proportion","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.216351710561202,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","tiger","TIGER","MTBLS79","Batch weighted-PC R²"
