"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"heldout_qc_cv_mean",7.32552583839107,"lower",113,"percent","","sacurine","qc_rfsc","QC-RFSC","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00884955752212389,"lower",226,"proportion","","sacurine","qc_rfsc","QC-RFSC","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0371804141979941,"lower",226,"proportion","","sacurine","qc_rfsc","QC-RFSC","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00178167097094416,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","tiger","TIGER","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",10.1930094989336,"lower",113,"percent","","sacurine","tiger","TIGER","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0132743362831858,"lower",226,"proportion","","sacurine","tiger","TIGER","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0388302972708426,"lower",226,"proportion","","sacurine","tiger","TIGER","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0019315491172379,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","serrf","SERRF","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",17.0109024488018,"lower",113,"percent","","sacurine","serrf","SERRF","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0619469026548673,"lower",226,"proportion","","sacurine","serrf","SERRF","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0555820775458359,"lower",226,"proportion","","sacurine","serrf","SERRF","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000415820234223158,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","winn_auto_qc","WiNN auto (QC)","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",16.0063160088905,"lower",113,"percent","","sacurine","winn_auto_qc","WiNN auto (QC)","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0265486725663717,"lower",226,"proportion","","sacurine","winn_auto_qc","WiNN auto (QC)","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0435650355720423,"lower",226,"proportion","","sacurine","winn_auto_qc","WiNN auto (QC)","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000489308961332933,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",17.673468020507,"lower",113,"percent","","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0309734513274336,"lower",226,"proportion","","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0397114522391577,"lower",226,"proportion","","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000737747609499402,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",22.421913234801,"lower",113,"percent","","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0309734513274336,"lower",226,"proportion","","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0520147926987853,"lower",226,"proportion","","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.69436740649987,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","raw","Raw","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",49.6615125014856,"lower",6461,"percent","","waveica","raw","Raw","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.598565753495331,"lower",19383,"proportion","","waveica","raw","Raw","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.205768293336358,"lower",19383,"proportion","","waveica","raw","Raw","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000465422730130473,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","combat","ComBat","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",40.2404130226057,"lower",6461,"percent","","waveica","combat","ComBat","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.600629417530826,"lower",19383,"proportion","","waveica","combat","ComBat","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.20730699988528,"lower",19383,"proportion","","waveica","combat","ComBat","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00158298745775718,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","qc_rlsc","QC-RLSC","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",39.3267820613923,"lower",6461,"percent","","waveica","qc_rlsc","QC-RLSC","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.464375999587267,"lower",19383,"proportion","","waveica","qc_rlsc","QC-RLSC","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.108717975881041,"lower",19383,"proportion","","waveica","qc_rlsc","QC-RLSC","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.509560684056,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","qc_rfsc","QC-RFSC","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",16.8629439487961,"lower",6461,"percent","","waveica","qc_rfsc","QC-RFSC","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.608368157663932,"lower",19383,"proportion","","waveica","qc_rfsc","QC-RFSC","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.122241940652603,"lower",19383,"proportion","","waveica","qc_rfsc","QC-RFSC","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.500613460279628,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","tiger","TIGER","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",26.1426296583401,"lower",6461,"percent","","waveica","tiger","TIGER","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.431976474229995,"lower",19383,"proportion","","waveica","tiger","TIGER","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.113395157207543,"lower",19383,"proportion","","waveica","tiger","TIGER","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0416086941522562,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","serrf","SERRF","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",34.0434795508229,"lower",6461,"percent","","waveica","serrf","SERRF","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.44152092039416,"lower",19383,"proportion","","waveica","serrf","SERRF","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.1172290395345,"lower",19383,"proportion","","waveica","serrf","SERRF","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00185791740415135,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","winn_auto_qc","WiNN auto (QC)","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",38.1178028673346,"lower",6461,"percent","","waveica","winn_auto_qc","WiNN auto (QC)","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.13780116597018,"lower",19383,"proportion","","waveica","winn_auto_qc","WiNN auto (QC)","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.018349334505791,"lower",19383,"proportion","","waveica","winn_auto_qc","WiNN auto (QC)","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.481365148138614,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",40.9082423195738,"lower",6461,"percent","","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.601558066346799,"lower",19383,"proportion","","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.211998247026591,"lower",19383,"proportion","","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","WaveICA","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00207900815504909,"lower",568,"weighted R-squared","Batch is explicitly categorical.","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","WaveICA","Batch weighted-PC R²"
"heldout_qc_cv_mean",38.3003440498814,"lower",6461,"percent","","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","WaveICA","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.135118402724037,"lower",19383,"proportion","","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","WaveICA","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0141634445598343,"lower",19383,"proportion","","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","WaveICA","Residual GAM deviance"
