"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","raw","Raw","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.879386831580911,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.881066706839948,"higher",450,"correlation","","simulation","combat","ComBat","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.905483269655236,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.907128419117509,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.697701425617728,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.682481784426063,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.87329948453022,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.856328096042775,"higher",450,"correlation","","simulation","tiger","TIGER","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.887607914457796,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.879622363348465,"higher",450,"correlation","","simulation","serrf","SERRF","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.922321659529502,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.925989767122605,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.858213013478024,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.868555221284607,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","Simulation","Truth sample Pearson"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","Simulation","Truth sample Pearson"
"biological_weighted_pc_r2",0.342783223437302,"higher",134,"weighted R-squared","","mtbls79","raw","Raw","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.548997409303439,"higher",2488,"ICC(A,1)","","mtbls79","raw","Raw","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.952320686738354,"higher",20,"correlation","","mtbls79","raw","Raw","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.468838695057742,"higher",134,"weighted R-squared","","mtbls79","combat","ComBat","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.695679958212752,"higher",2488,"ICC(A,1)","","mtbls79","combat","ComBat","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.978177327379065,"higher",20,"correlation","","mtbls79","combat","ComBat","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.0507371995449736,"higher",134,"weighted R-squared","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.0924363870265387,"higher",2488,"ICC(A,1)","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.987598822200064,"higher",20,"correlation","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.434507372476898,"higher",134,"weighted R-squared","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.619676984697669,"higher",2488,"ICC(A,1)","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.993667266617772,"higher",20,"correlation","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.415480584055808,"higher",134,"weighted R-squared","","mtbls79","tiger","TIGER","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.579479054575873,"higher",2488,"ICC(A,1)","","mtbls79","tiger","TIGER","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.961437677896945,"higher",20,"correlation","","mtbls79","tiger","TIGER","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.46610294740746,"higher",134,"weighted R-squared","","mtbls79","serrf","SERRF","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.667618584540551,"higher",2488,"ICC(A,1)","","mtbls79","serrf","SERRF","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.975109082132595,"higher",20,"correlation","","mtbls79","serrf","SERRF","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.466642276944317,"higher",134,"weighted R-squared","","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.679806955877126,"higher",2488,"ICC(A,1)","","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.976073321117563,"higher",20,"correlation","","mtbls79","winn_auto_qc","WiNN auto (QC)","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.46596793443404,"higher",134,"weighted R-squared","","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.660705737960497,"higher",2488,"ICC(A,1)","","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.973559682269081,"higher",20,"correlation","","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.471479113913378,"higher",134,"weighted R-squared","","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Biological PC R²"
"metabolite_icc_a1_median",0.674414477673406,"higher",2488,"ICC(A,1)","","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Metabolite ICC"
"sample_replicate_pearson_median",0.975436813944675,"higher",20,"correlation","","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Sample Pearson"
"biological_weighted_pc_r2",0.698982296703889,"higher",536,"weighted R-squared","","clinical_fiams","raw","Raw","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.648713511012684,"higher",1594,"repeatability ratio","","clinical_fiams","raw","Raw","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.980951466319722,"higher",267,"ICC(A,1)","","clinical_fiams","raw","Raw","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.983467072627652,"higher",267,"correlation","","clinical_fiams","raw","Raw","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.76933130563631,"higher",536,"weighted R-squared","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.66388849961035,"higher",1594,"repeatability ratio","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.985936215950445,"higher",267,"ICC(A,1)","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Replicate-profile ICC"
"sample_replicate_pearson_median",0.987725723815802,"higher",267,"correlation","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Sample Pearson"
"biological_weighted_pc_r2",0.771322434361669,"higher",536,"weighted R-squared","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Biological PC R²"
"feature_repeatability_ratio_median",0.679188209688008,"higher",1594,"repeatability ratio","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Feature repeatability"
"genuine_replicate_icc_median",0.985576552808629,"higher",267,"ICC(A,1)","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Replicate-profile ICC"
