"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset","metric_label"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.7920527213108,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0495059434626127,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",23.7353604607433,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.102696389734375,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",9.23360832613033,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0834131482538483,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.2665532718263,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0974467404968571,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.9219326109879,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190497781036592,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",19.0550348564228,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138883542467965,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.92379774849507,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT03","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT03","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",44.4418104807569,"lower",1000,"percent","","simulation","raw","Raw","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.6092899210091,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",11.3199881643154,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0533957146284702,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.3247016247208,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.117268931000882,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",9.83581810569004,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0846724265465097,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",12.4503640667541,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0984389183369006,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.67222177690528,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190575127587853,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",15.8124676675684,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138893097400201,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.66233977936626,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT04","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT04","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",45.7934906778548,"lower",1000,"percent","","simulation","raw","Raw","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.7741262874691,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",11.2861998116316,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0542053976043298,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",20.0221955978236,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.131703741063237,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",10.084336189483,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0858562695879392,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",13.6469405344857,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0997006307752182,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.71931312193625,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0190595747089463,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",17.5612436196087,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT05","Simulation","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.138886802458648,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT05","Simulation","Residual GAM deviance"
"heldout_qc_cv_mean",8.72369761036392,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT05","Simulation","Held-out QC CV (%)"
