"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id","metric_label"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM01","Truth sample Pearson"
"heldout_qc_cv_mean",46.0458554803273,"lower",1000,"percent","","simulation","raw","Raw","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.126608992121227,"lower",5000,"proportion","","simulation","raw","Raw","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.963599564642599,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.577019055009956,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.510193725862697,"higher",450,"correlation","","simulation","raw","Raw","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",12.8587769260744,"lower",1000,"percent","","simulation","combat","ComBat","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.126608734434934,"lower",5000,"proportion","","simulation","combat","ComBat","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000114063053212148,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.877058464265466,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.879360851214528,"higher",450,"correlation","","simulation","combat","ComBat","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",12.7286285306739,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0534438666496551,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000272197986484185,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.903059192263792,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.904311620664417,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",32.0168289753813,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.11906457193557,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.117154334724755,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.690082110890424,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.665091411489081,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",10.397952597894,"lower",1000,"percent","","simulation","tiger","TIGER","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0838704973491164,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0320282374516539,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.869391193728504,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.84996526577812,"higher",450,"correlation","","simulation","tiger","TIGER","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",13.0409237364573,"lower",1000,"percent","","simulation","serrf","SERRF","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0991270543958985,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000579019480337715,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.883285843419585,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.872192101154371,"higher",450,"correlation","","simulation","serrf","SERRF","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",9.14086434833699,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0198100624082451,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00140103151190936,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.91818842884011,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.919486482099721,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",15.1748981974371,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.120738536884556,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.188450217275425,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.858949022841333,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM02","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.869243775025059,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM02","Truth sample Pearson"
"heldout_qc_cv_mean",9.07845073787309,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM02","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.021266909450256,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM02","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00120378704130995,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM02","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.91822667604616,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM02","Truth metabolite ICC"
