"array_index","scenario_id","pre_v2_job_id","pre_v2_attempt_status","pre_v2_scientifically_eligible","v2_retry_required","pre_v2_expected_raw_intensity_round10_sha256","pre_v2_expected_clean_intensity_round10_sha256","pre_v2_observed_raw_intensity_round10_sha256","pre_v2_observed_clean_intensity_round10_sha256","pre_v2_reference_raw_intensity_object_sha256","pre_v2_observed_raw_intensity_object_sha256","pre_v2_reference_clean_ground_truth_object_sha256","pre_v2_observed_clean_ground_truth_object_sha256","raw_intensity_max_abs_difference","raw_intensity_median_abs_difference","raw_intensity_nonzero_difference_cells","raw_intensity_cells_above_1e_minus_12","raw_log_with_biology_max_abs_difference","raw_log_round10_identical"
11,"CONF01_batch_0p90","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"75a426228c44c06d05f2c035250c7e00be07be9f383102aaaab1f6bd263776ed","0d1078c69194a197ef72bb29deed77485aec89a4afb2c0b28ee40eeaed1a382d","","","b7c4c7f7e9439d43a4de5e3fc495994c030b8743eda3025ffa85282d6eed78bb","","1468da917e0881b22dd8cd4f401a24433b428d004f5d6ecd5a4f1df9d6163e84","",,,,,,
12,"CONF01_run_order_0p90","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"8375d6388f55a29292813c0df89035231b7e4bf590c676197deb82b0889636b8","9271c20c9677342eb9f1c6a06ccc00b1f407e644eff7d547bcd1e374e3337fac","","","b4168f76659912ad16a63d99f05c1a6b1744ff56c9a009c69999848e79b02c89","","6e4e584cf7bc731ac097f0125bc2b451aad251415cd08f491970eddfe02f0fdb","",,,,,,
13,"CONF01_joint_0p90","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"a352a3a47ad230d39e3ec7d3046e52e06ffe23f2b00d1fd35106d2c73c26eed1","c613adc06a471e03427ec6cdb562c7edcf48707766dc8e9c05d54e090fb0d318","","","69ff0bc2f5caec424e09387312cddd6f9168ce60ac51d1dbebfb25d871b50b71","","9277a94c107eb6c67609c642dbba3c1214fab305eb103e608c00e89e1baadf0b","",,,,,,
14,"CONF01_batch_1p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"6e32016eb632fef91601016393e69b8f2eb09af5d1c6c2d7780201986a71b4f0","cafdbb10c153adb5a7ce00dd3a10db35d5e6d73d78bb87736aba9d38163ab8e3","","","6920b04424471202b2cf21e9713bb6cac86a1153699de94086116e282533c4df","","0444bcea2d197181291b6d57f1341c476bb0ea67e2e2c30409399757a632256d","",,,,,,
15,"CONF01_run_order_1p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"8a22694e852f7725d3da410f9264d581f248ba4cdd4d07c1a7be281c0bff7bcd","36e27be15a957ed6d87669070b32a646a5beb2a606107cff24a5940da2377db6","","","ca669acde58dfd82e2531e03345636fd8aaf58e47dbce2e091fbd7d6c3247802","","f2c1769f54673f8d2f7c1b16c8500708974208e505decf7c5f49e847bdb736d3","",,,,,,
16,"CONF01_joint_1p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"d130321afcb6b4336a523199a338d743644c6bcec8a53809777b7adb0742be42","50728489c06b593d5262586bf7ec003329da6bcde8560cc182a2aff548f4850f","","","a2b22769e068c5355a869e654710bf2ebfc9049af7987fbb2f5049af3591b76d","","74efdaeee3c4b17f497fa76d3eb15071b7777d7e75fd45fb8baab463db44285d","",,,,,,
17,"CONF02_none_0p00","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"39aa2cd730f038ebc90c3006d6ef66746eb8ab0fe696301e5cf6280f5237c35d","cf238bd047e9bf3664cc45920955ca11ced60e478e731591a96f469c11debd48","","","3876fead0bfdbb831fac978c63ffee23376d17ae0f3f1bad539072cdd990df1b","","1fe22f106c8bee44272026f315531134edfb35f5256bc90b6e7e287a94da1f2d","",,,,,,
18,"CONF02_batch_0p25","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"27b19756c53e1979712f2e57f23733dac927a2f22c97b10b4376109e077bd763","dddee25e71ec68218c7e768197bb4c61a034405b1d4d1cf11e23e0a8bbd3b811","","","bd8daecd16e2d4817121846949f9f56ae7c115270d0b8fd9c15d4f80ebf417f9","","1bb77638cca73255e1f0d6542b5919fb6681fdd4c3d5d0c96cc1fa83b1cc7ee2","",,,,,,
19,"CONF02_run_order_0p25","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"e850152e3f70e0c335cb1ca31210ad216b5b21c96318ffee8aa84c2c95ce0ce3","d65f9e5c9db51f8c67553d48ae488f852cb4d5dcccb0e8dcf4a317857e61b5a6","","","84749d6037d591019bccecd8b8e78d2a71e872663be770bb7c5631ea75dd4e83","","3f7bd89a65057c6720537d9f930b62dd7bc2f1956e116e68d81ad76e3f4c2755","",,,,,,
20,"CONF02_joint_0p25","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"405113c53a8d86394a4e7eafc59d507c04b65810ee1c15346362c71077b8692a","aafc2d33196aaffd166d3e1f3ca46e7d7d5ded724e559ec2aab48c41ab656986","","","5142bbb0530ffc2d6f83bbb21ee7b897b2890b0cc8837b00f5b0c921b8a0b268","","d47895cf08207536f565f907fd9c381b93269a0c638e852640fe5c6484c86b21","",,,,,,
21,"CONF02_batch_0p50","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"bbc83641c821d8e178168e6cf26193df51b9333a27315443697dfc9bdd7d60b9","ac49a5aef9edb259cef5198f4e38e145cef163ded188cb1e32edf2e6feed5d70","","","23feaebcca62d902bf0cdadbad24ecd1a384ec77198dba352c0ffab8f346c824","","7e180d0793a1f7aab4dedff67844a337597664164b3124ce3fdbf2f68f78123e","",,,,,,
22,"CONF02_run_order_0p50","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"20c542b43dc2337494b6acf1b983db56a8b2f9240fb84a99e65968b55b3dc62e","3fbb2665a5253317d96bf2e4b16d1584539c9370c5e0cc7efaf6337d421a3083","","","d5a4b72a8b68106a96bbad70350fc85d657c7eff8891ec9bdc4037945ff624e0","","698419cc02770441bae3d16310057adba8d066bfedb692e1cf3d2709d151be48","",,,,,,
23,"CONF02_joint_0p50","8385353","completed_v1_scientifically_ineligible",FALSE,TRUE,"96bafda17b6712450ba994d8b553406caee57008514cc2d89764fd6d4458d39a","446b8ec419cfc3be385fbef472dd4036ad867cd0536f87afeb1915b62ba33fe5","","","0abe260a87b217efa7b8845152f4d53bed0f79d3b9713a163f25258738c2f2cd","","f2cf7de8e1be277261402ae060bcfb45b30c087ab41f93921e3ba84fd64d4239","",,,,,,
