"dataset_key","dataset","method_id","method","selection_signature","splits_selected","total_splits","selection_proportion"
"simulation","Simulation","raw","Raw","fixed; no selection",10,10,1
"simulation","Simulation","combat","ComBat","fixed; no selection",10,10,1
"simulation","Simulation","qc_rlsc","QC-RLSC","fixed; no selection",10,10,1
"simulation","Simulation","qc_rfsc","QC-RFSC","fixed; no selection",10,10,1
"simulation","Simulation","tiger","TIGER","native default with acquisition order",10,10,1
"simulation","Simulation","serrf","SERRF","fixed; no selection",10,10,1
"simulation","Simulation","winn_auto_qc","WiNN auto (QC)","{""parameters"":""auto"",""batch_option"":""provided"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.1,""anova_fdr"":0.01,""normalization"":""shrink"",""scale_by_batch"":false}",10,10,1
"simulation","Simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","{""parameters"":""auto"",""batch_option"":""auto"",""pelt_penalty"":18.6438242952666,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""acorr_fdr"":0.01,""anova_fdr"":0.1,""normalization"":""shrink"",""scale_by_batch"":false}",10,10,1
"simulation","Simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","{""parameters"":""fixed"",""pelt_penalty"":null,""test"":""Ljung-Box"",""ljung_box_fitdf"":0,""lag"":""adaptive"",""spline_method"":""conservative"",""scale_by_batch"":false}",10,10,1
"mtbls79","MTBLS79","raw","Raw","fixed; no selection",10,10,1
"mtbls79","MTBLS79","combat","ComBat","candidate=1; par_prior=TRUE",8,10,0.8
"mtbls79","MTBLS79","combat","ComBat","candidate=2; par_prior=FALSE",2,10,0.2
"mtbls79","MTBLS79","qc_rlsc","QC-RLSC","candidate=3; span=0.7",7,10,0.7
"mtbls79","MTBLS79","qc_rlsc","QC-RLSC","candidate=2; span=0.5",3,10,0.3
"mtbls79","MTBLS79","qc_rfsc","QC-RFSC","candidate=3; ntree=500; coCV=20; Frule=0.8",10,10,1
