"dataset_key","method_id","method","candidate_id","params","default_distance","n_folds_attempted","n_folds_scored","qc_only_score","mean_training_qc_profile_correlation","mean_training_qc_cv_fraction","feature_coverage","eligible_for_selection","selection_reason","selected","selection_seed","hidden_qc_values_available","biological_labels_available","replicate_identities_available","preservation_endpoints_available"
"batchcorr_set1","serrf","SERRF",1,"jitter_eps=0",0,1,1,0.760243541169866,0.978422427185465,0.436357772031198,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072633,FALSE,FALSE,FALSE,FALSE
"batchcorr_set1","serrf","SERRF",2,"jitter_eps=1e-06",1,1,1,0.760243541169879,0.978422427185465,0.436357772031173,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072633,FALSE,FALSE,FALSE,FALSE
"batchcorr_set1","serrf","SERRF",3,"jitter_eps=1e-05",2,1,1,0.760243541169981,0.978422427185466,0.43635777203097,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072633,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rlsc","QC-RLSC",1,"span=0.3",0.45,9,9,0.677032250663047,0.996493253546567,0.63892200576704,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072639,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rlsc","QC-RLSC",2,"span=0.5",0.25,9,9,0.68480234534405,0.994729829486432,0.619854968284764,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072639,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rlsc","QC-RLSC",3,"span=0.7",0.05,9,9,0.935530757982987,0.997514322947379,0.123967129928784,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072639,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rlsc","QC-RLSC",4,"span=0.9",0.15,9,9,0.939388861191814,0.997700269623213,0.116622816862798,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072639,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rfsc","QC-RFSC",1,"ntree=200; coCV=20; Frule=0.8",2,9,9,0.951536803640538,0.99222177145523,0.0813699356293845,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072640,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rfsc","QC-RFSC",2,"ntree=500; coCV=20; Frule=0.8",1,9,9,0.849104494583151,0.888031312946433,0.0778536367265638,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072640,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rfsc","QC-RFSC",3,"ntree=200; coCV=30; Frule=0.8",1,9,9,0.96013895564134,0.992742647040442,0.0652073827982033,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072640,FALSE,FALSE,FALSE,FALSE
"sacurine","qc_rfsc","QC-RFSC",4,"ntree=500; coCV=30; Frule=0.8",0,9,9,0.960535816716618,0.992742647022411,0.0644136606115861,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072640,FALSE,FALSE,FALSE,FALSE
"sacurine","serrf","SERRF",1,"jitter_eps=0",0,9,9,0.913825355949584,0.996197520798297,0.164744329697425,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072642,FALSE,FALSE,FALSE,FALSE
"sacurine","serrf","SERRF",2,"jitter_eps=1e-06",1,9,9,0.913744234598243,0.996173221763412,0.164857974330337,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072642,FALSE,FALSE,FALSE,FALSE
"sacurine","serrf","SERRF",3,"jitter_eps=1e-05",2,9,9,0.913786398455455,0.996193971317949,0.164815145724989,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072642,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rlsc","QC-RLSC",1,"span=0.3",0.45,9,9,0.276760025636853,0.563447383442642,0.573374715611579,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072648,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rlsc","QC-RLSC",2,"span=0.5",0.25,9,9,0.525042583616963,0.737216697149462,0.424348227064997,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072648,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rlsc","QC-RLSC",3,"span=0.7",0.05,9,9,0.536252505551683,0.743788064708865,0.415071118314364,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072648,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rlsc","QC-RLSC",4,"span=0.9",0.15,9,9,0.542944393749276,0.746982460068307,0.408076132638063,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072648,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rfsc","QC-RFSC",1,"ntree=200; coCV=20; Frule=0.8",2,9,9,0.468448948080167,0.598227984695538,0.259558073230743,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072649,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rfsc","QC-RFSC",2,"ntree=500; coCV=20; Frule=0.8",1,9,9,0.467070368130746,0.598221033717662,0.262301331173833,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072649,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rfsc","QC-RFSC",3,"ntree=200; coCV=30; Frule=0.8",1,9,9,0.538309852673906,0.633499794398769,0.190379883449727,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072649,FALSE,FALSE,FALSE,FALSE
"waveica","qc_rfsc","QC-RFSC",4,"ntree=500; coCV=30; Frule=0.8",0,9,9,0.538498514391035,0.633499794384672,0.190002559987274,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072649,FALSE,FALSE,FALSE,FALSE
"waveica","serrf","SERRF",1,"jitter_eps=0",0,9,9,0.529142188310687,0.711790791234713,0.365297205848052,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072651,FALSE,FALSE,FALSE,FALSE
"waveica","serrf","SERRF",2,"jitter_eps=1e-06",1,9,9,0.528630134628679,0.710183738188526,0.363107207119694,1,TRUE,"eligible_complete_frozen_fold_set",FALSE,2026072651,FALSE,FALSE,FALSE,FALSE
"waveica","serrf","SERRF",3,"jitter_eps=1e-05",2,9,9,0.529902712341263,0.71180243512006,0.363799445557592,1,TRUE,"eligible_complete_frozen_fold_set",TRUE,2026072651,FALSE,FALSE,FALSE,FALSE
