"dataset_key","dataset","metric","direction","G_SS","G_AS","G_SA","G_AA","selective_drift_benefit","selective_batch_benefit","fully_selective_benefit","contrast_definition"
"mtbls79","MTBLS79","residual_run_order_gam_sd_deviance","lower",0.168153066112504,0.0458380731580205,0.168141961932324,0.0459064374124867,-0.122314992954484,-1.11041801799938e-05,-0.122246628700017,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","residual_ljung_box_proportion_significant","lower",0.00221061093247588,0.0789288585209003,0.00221061093247588,0.0791800643086817,0.0767182475884244,0,0.0769694533762058,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","batch_weighted_pc_r2_categorical","lower",0.0108480104370861,0.00638791838609736,0.0106558279333553,0.00571273868069983,-0.00446009205098874,-0.000192182503730799,-0.00513527175638627,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","retained_features","higher",2488,2488,2488,2488,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","retained_samples","higher",172,172,172,172,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","runtime_sec","lower",7.589,49.703,7.19299999999999,49.407,42.114,-0.396000000000011,41.818,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","drift_profiles_corrected","descriptive",52,19904,52,19904,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","drift_features_corrected","descriptive",40,2488,40,2488,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","batch_features_corrected","descriptive",1860,2060,2488,2488,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","biological_weighted_pc_r2","higher",0.471479113913378,0.459601565639676,0.471170085143598,0.459294623758875,0.011877548273702,0.000309028769780006,0.012184490154503,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","metabolite_icc_a1_median","higher",0.674414477673406,0.640185554278018,0.681807145737552,0.641333529494254,0.034228923395388,-0.00739266806414596,0.033080948179152,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","sample_replicate_pearson_median","higher",0.975436813944675,0.981099298652759,0.976760590417258,0.982157563732513,-0.00566248470808406,-0.00132377647258308,-0.00672074978783799,"Positive values favor selective correction over the corresponding forced-correction condition."
"mtbls79","MTBLS79","biological_associated_features","context",1013,1067,1015,1066,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv_mean","lower",12.4044092100879,13.5327320895589,12.3946699037692,13.5134759406473,1.128322879471,-0.0097393063186999,1.1090667305594,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv_sd","lower",5.42898031411995,5.73240661941162,5.42319171552939,5.7073634279204,0.30342630529167,-0.00578859859056013,0.278383113800451,"Positive values favor selective correction over the corresponding forced-correction condition."
"clinical_fiams","Clinical FIA-MS","heldout_qc_cv_median","lower",11.0959804156287,12.1052861007706,11.0898980510012,12.0965740884015,1.0093056851419,-0.00608236462750078,1.0005936727728,"Positive values favor selective correction over the corresponding forced-correction condition."
