"dataset_key","dataset","table_id","metric","direction","Outlier_shrinkage","Selective_drift","Selective_batch","PQN","impact_definition"
"simulation","Simulation","gam_deviance","residual_run_order_gam_mean_deviance","lower",-0.000134966232045008,-0.020381512914243,-0.0406279895082077,-0.0608873499184617,"Positive values favor the newly added stage; negative values indicate deterioration."
"mtbls79","MTBLS79","gam_deviance","residual_run_order_gam_mean_deviance","lower",0.000998655965972983,-0.138591085745756,-0.278180827457485,-0.418259524736373,"Positive values favor the newly added stage; negative values indicate deterioration."
"clinical_fiams","Clinical FIA-MS","gam_deviance","residual_run_order_gam_mean_deviance","lower",-0.001823572864857,-0.0738931528429665,-0.145962732821076,-0.218731379953373,"Positive values favor the newly added stage; negative values indicate deterioration."
"batchcorr_set1","BatchCorr Set 1","gam_deviance","residual_run_order_gam_mean_deviance","lower",0.002556774199041,-0.0437627739081905,-0.0900823220154219,-0.133855287217971,"Positive values favor the newly added stage; negative values indicate deterioration."
"sacurine","Sacurine","gam_deviance","residual_run_order_gam_mean_deviance","lower",-0.000532675088137105,-0.0322667866692489,-0.0640008982503607,-0.116015690949146,"Positive values favor the newly added stage; negative values indicate deterioration."
"waveica","WaveICA","gam_deviance","residual_run_order_gam_mean_deviance","lower",-0.002568385535794,-0.0166948653392403,-0.0308605365719198,-0.0450239811317541,"Positive values favor the newly added stage; negative values indicate deterioration."
