"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","qc_rfsc","QC-RFSC","SIM01"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rfsc","QC-RFSC","SIM01"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SIM01"
"truth_metabolite_profile_icc_mean",0.697701425617728,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SIM01"
"truth_sample_profile_pearson_mean",0.682481784426063,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SIM01"
"truth_log1p_rmse",0.194483540578911,"lower",450000,"log1p intensity","","simulation","qc_rfsc","QC-RFSC","SIM01"
"heldout_qc_cv_mean",9.77944159674684,"lower",1000,"percent","","simulation","tiger","TIGER","SIM01"
"heldout_qc_cv_sd",9.90718223814511,"lower",1000,"percent","","simulation","tiger","TIGER","SIM01"
"heldout_qc_cv_median",8.67455373664609,"lower",1000,"percent","","simulation","tiger","TIGER","SIM01"
"residual_run_order_gam_mean_deviance",0.085253052918361,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM01"
"residual_run_order_gam_sd_deviance",0.129592057363962,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM01"
"residual_ljung_box_proportion_significant",0.1752,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM01"
"batch_weighted_pc_r2_categorical",0.0860395046780319,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","tiger","TIGER","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","tiger","TIGER","SIM01"
"runtime_sec",1607.777,"lower",1,"seconds","measured method execution in frozen release","simulation","tiger","TIGER","SIM01"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","tiger","TIGER","SIM01"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SIM01"
"truth_metabolite_profile_icc_mean",0.873270482820115,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SIM01"
"truth_sample_profile_pearson_mean",0.856296262457087,"higher",450,"correlation","","simulation","tiger","TIGER","SIM01"
"truth_log1p_rmse",0.110960348256366,"lower",450000,"log1p intensity","","simulation","tiger","TIGER","SIM01"
"heldout_qc_cv_mean",12.495344300561,"lower",1000,"percent","","simulation","serrf","SERRF","SIM01"
"heldout_qc_cv_sd",9.58874295720924,"lower",1000,"percent","","simulation","serrf","SERRF","SIM01"
"heldout_qc_cv_median",10.524897988776,"lower",1000,"percent","","simulation","serrf","SERRF","SIM01"
"residual_run_order_gam_mean_deviance",0.0997710875953133,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM01"
"residual_run_order_gam_sd_deviance",0.156531324905062,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM01"
"residual_ljung_box_proportion_significant",0.2006,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM01"
"batch_weighted_pc_r2_categorical",0.000686301131247359,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","serrf","SERRF","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","serrf","SERRF","SIM01"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","serrf","SERRF","SIM01"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","serrf","SERRF","SIM01"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SIM01"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SIM01"
"truth_metabolite_profile_icc_mean",0.887607914457796,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SIM01"
"truth_sample_profile_pearson_mean",0.879622363348465,"higher",450,"correlation","","simulation","serrf","SERRF","SIM01"
"truth_log1p_rmse",0.0953567821019156,"lower",450000,"log1p intensity","","simulation","serrf","SERRF","SIM01"
"heldout_qc_cv_mean",8.78288536211856,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"heldout_qc_cv_sd",6.25266545924884,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"heldout_qc_cv_median",7.73686643153703,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"residual_run_order_gam_mean_deviance",0.0190598805330619,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"residual_run_order_gam_sd_deviance",0.0319713597474127,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"residual_ljung_box_proportion_significant",0.0086,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"batch_weighted_pc_r2_categorical",0.00100135976133962,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"runtime_sec",18.746,"lower",1,"seconds","measured method execution in frozen release","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"drift_profiles_corrected",1566,"descriptive",5000,"profiles","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"drift_features_corrected",696,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"batch_features_corrected",721,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"truth_metabolite_profile_icc_mean",0.922321659529502,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"truth_sample_profile_pearson_mean",0.925989767122605,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"truth_log1p_rmse",0.071593517780699,"lower",450000,"log1p intensity","","simulation","winn_auto_qc","WiNN auto (QC)","SIM01"
"heldout_qc_cv_mean",16.3142944058656,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"heldout_qc_cv_sd",10.6230798483238,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"heldout_qc_cv_median",15.1128846355237,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"residual_run_order_gam_mean_deviance",0.138876443356538,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
"residual_run_order_gam_sd_deviance",0.17987673081442,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM01"
