"candidate_id","parameters","status","qc_score","mean_qc_correlation","mean_qc_cv","runtime_sec","error","selected","dataset_key","dataset","split_id","task_id","method_id","method","hidden_qc_values_available","biological_labels_available","replicate_identities_available"
4,"span=0.9","completed",0.227426229805154,0.974985982923051,1.49511950623579,161.068,"",FALSE,"mtbls79","MTBLS79","SPLIT03","REF_099","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.901836008210968,0.95921667103105,0.114761325640165,91.316,,FALSE,"mtbls79","MTBLS79","SPLIT03","REF_100","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.727422078408725,0.776116842060181,0.0973895273029112,92.083,,FALSE,"mtbls79","MTBLS79","SPLIT03","REF_100","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.902151627985512,0.959217759696288,0.114132263421552,111.664,,TRUE,"mtbls79","MTBLS79","SPLIT03","REF_100","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.684876973922272,0.733553190133096,0.0973524324216476,108.168,,FALSE,"mtbls79","MTBLS79","SPLIT03","REF_100","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.884194118248582,0.975131625900765,0.181875015304367,1920.861,,FALSE,"mtbls79","MTBLS79","SPLIT03","REF_101","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.884194118251249,0.975131625900766,0.181875015299034,1728.972,,FALSE,"mtbls79","MTBLS79","SPLIT03","REF_101","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.884194118275255,0.975131625900771,0.181875015251033,1443.711,,TRUE,"mtbls79","MTBLS79","SPLIT03","REF_101","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.897950807319016,0.981701167254238,0.167500719870445,2.202,,TRUE,"mtbls79","MTBLS79","SPLIT04","REF_106","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.897472335526573,0.980690932445772,0.166437193838397,148.968,,FALSE,"mtbls79","MTBLS79","SPLIT04","REF_106","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,111.534,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT04","REF_107","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.629566811095713,0.985085731602625,0.711037841013826,4292.5,"",FALSE,"mtbls79","MTBLS79","SPLIT04","REF_107","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",0.844629289083331,0.987848972158737,0.286439366150813,247.743,"",TRUE,"mtbls79","MTBLS79","SPLIT04","REF_107","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",0.229194198157384,0.969779741031001,1.48117108574723,163.672,"",FALSE,"mtbls79","MTBLS79","SPLIT04","REF_107","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.89698236637425,0.95433910738188,0.11471348201526,74.94,,FALSE,"mtbls79","MTBLS79","SPLIT04","REF_108","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.734535731906078,0.783222512263076,0.097373560713997,76.107,,FALSE,"mtbls79","MTBLS79","SPLIT04","REF_108","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.897201134611661,0.954340360827831,0.11427845243234,93.694,,TRUE,"mtbls79","MTBLS79","SPLIT04","REF_108","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.703151298162071,0.751812539690691,0.0973224830572387,92.09,,FALSE,"mtbls79","MTBLS79","SPLIT04","REF_108","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.886532567253761,0.977103658286233,0.181142182064946,1620.892,,FALSE,"mtbls79","MTBLS79","SPLIT04","REF_109","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.886532567256416,0.977103658286234,0.181142182059636,1578.538,,FALSE,"mtbls79","MTBLS79","SPLIT04","REF_109","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.886532567280313,0.977103658286238,0.18114218201185,1569.201,,TRUE,"mtbls79","MTBLS79","SPLIT04","REF_109","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.894653998820216,0.977848733870617,0.166389470100802,1.707,,TRUE,"mtbls79","MTBLS79","SPLIT05","REF_114","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.892556129239041,0.975123076508825,0.165133894539567,122.719,,FALSE,"mtbls79","MTBLS79","SPLIT05","REF_114","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,99.099,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT05","REF_115","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.629211058972093,0.984473050315855,0.710523982687524,3755.399,"",FALSE,"mtbls79","MTBLS79","SPLIT05","REF_115","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",0.873491082486065,0.986923801443941,0.226865437915754,260.297,"",TRUE,"mtbls79","MTBLS79","SPLIT05","REF_115","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",0.194715131314283,0.951183310089494,1.51293635755042,157.488,"",FALSE,"mtbls79","MTBLS79","SPLIT05","REF_115","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.890563963683584,0.947225533686996,0.113323140006824,77.928,,FALSE,"mtbls79","MTBLS79","SPLIT05","REF_116","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.751416426181208,0.799547851440005,0.0962628505175951,81.32,,FALSE,"mtbls79","MTBLS79","SPLIT05","REF_116","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.890808064577841,0.947226755787401,0.11283738241912,98.305,,TRUE,"mtbls79","MTBLS79","SPLIT05","REF_116","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.700347014546048,0.748465248477628,0.0962364678631613,96.731,,FALSE,"mtbls79","MTBLS79","SPLIT05","REF_116","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.883393275964999,0.973667974501436,0.180549397072875,1690.373,,FALSE,"mtbls79","MTBLS79","SPLIT05","REF_117","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.883393275967658,0.973667974501437,0.180549397067556,1582.996,,FALSE,"mtbls79","MTBLS79","SPLIT05","REF_117","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.883393275991594,0.973667974501439,0.180549397019691,1551.52,,TRUE,"mtbls79","MTBLS79","SPLIT05","REF_117","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.894278168472777,0.978676037162415,0.168795737379276,1.754,,TRUE,"mtbls79","MTBLS79","SPLIT06","REF_122","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.894222382201201,0.977843835281638,0.167242906160873,120.848,,FALSE,"mtbls79","MTBLS79","SPLIT06","REF_122","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,110.232,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT06","REF_123","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.714027013262726,0.982454443837468,0.536854861149485,5827.477,"",TRUE,"mtbls79","MTBLS79","SPLIT06","REF_123","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",-0.00230726674248549,0.978958051904018,1.96253063729301,233.235000000001,"",FALSE,"mtbls79","MTBLS79","SPLIT06","REF_123","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",-0.0221909031733688,0.973947475802001,1.99227675795074,203.249,"",FALSE,"mtbls79","MTBLS79","SPLIT06","REF_123","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.889311636894829,0.947273041443033,0.115922809096409,77.348,,FALSE,"mtbls79","MTBLS79","SPLIT06","REF_124","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.738389927371863,0.787727325601132,0.0986747964585371,76.669,,FALSE,"mtbls79","MTBLS79","SPLIT06","REF_124","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.889540960185287,0.947274187180666,0.115466453990759,94.675,,TRUE,"mtbls79","MTBLS79","SPLIT06","REF_124","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.701625693795242,0.750935870796842,0.0986203540032001,93.451,,FALSE,"mtbls79","MTBLS79","SPLIT06","REF_124","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.883256800820431,0.974890457471708,0.183267313302555,1647.865,,FALSE,"mtbls79","MTBLS79","SPLIT06","REF_125","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.883256800823187,0.974890457471709,0.183267313297044,1587.259,,FALSE,"mtbls79","MTBLS79","SPLIT06","REF_125","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.883256800847997,0.974890457471717,0.18326731324744,1610.272,,TRUE,"mtbls79","MTBLS79","SPLIT06","REF_125","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.895733243295409,0.979293774336813,0.167121062082808,1.798,,TRUE,"mtbls79","MTBLS79","SPLIT07","REF_130","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.893774198224805,0.976694485605038,0.165840574760467,125.574,,FALSE,"mtbls79","MTBLS79","SPLIT07","REF_130","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,112.228,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT07","REF_131","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.625713190073044,0.977582031289069,0.70373768243205,4426.066,"",FALSE,"mtbls79","MTBLS79","SPLIT07","REF_131","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",0.791940811102287,0.984151330162296,0.384421038120017,270.647,"",TRUE,"mtbls79","MTBLS79","SPLIT07","REF_131","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",0.227169560364953,0.975614097974717,1.49688907521953,205.628,"",FALSE,"mtbls79","MTBLS79","SPLIT07","REF_131","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.90232435027167,0.96024517758146,0.11584165461958,77.395,,FALSE,"mtbls79","MTBLS79","SPLIT07","REF_132","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.725943744185774,0.775299749742495,0.0987120111134413,77.815,,FALSE,"mtbls79","MTBLS79","SPLIT07","REF_132","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.902634179178335,0.960246260941517,0.115224163526365,94.738,,TRUE,"mtbls79","MTBLS79","SPLIT07","REF_132","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.6929526240174,0.742292332649829,0.0986794172648574,93.356,,FALSE,"mtbls79","MTBLS79","SPLIT07","REF_132","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.885562764377642,0.976339775839488,0.181554022923692,1665.134,,FALSE,"mtbls79","MTBLS79","SPLIT07","REF_133","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.885562764380347,0.976339775839488,0.181554022918284,1678.833,,FALSE,"mtbls79","MTBLS79","SPLIT07","REF_133","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.88556276440469,0.976339775839494,0.181554022869608,1693.3,,TRUE,"mtbls79","MTBLS79","SPLIT07","REF_133","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.896033854339691,0.980926310360596,0.16978491204181,1.959,,FALSE,"mtbls79","MTBLS79","SPLIT08","REF_138","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.896436591318675,0.980497183595865,0.16812118455438,137.029,,TRUE,"mtbls79","MTBLS79","SPLIT08","REF_138","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,106.015,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT08","REF_139","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.627701194941011,0.980964844354973,0.706527298827924,4413.146,"",FALSE,"mtbls79","MTBLS79","SPLIT08","REF_139","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",0.83584036509922,0.985841138957281,0.30000154771612,272.112,"",TRUE,"mtbls79","MTBLS79","SPLIT08","REF_139","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",0.225377581460051,0.971296484084847,1.49183780524959,198.419999999999,"",FALSE,"mtbls79","MTBLS79","SPLIT08","REF_139","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.902822376972506,0.959910806042218,0.114176858139424,78.845,,FALSE,"mtbls79","MTBLS79","SPLIT08","REF_140","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.727317871750296,0.7760685980322,0.0975014525638076,80.578,,FALSE,"mtbls79","MTBLS79","SPLIT08","REF_140","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.903095357322342,0.959911698696209,0.113632682747733,95.711,,TRUE,"mtbls79","MTBLS79","SPLIT08","REF_140","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.686621556568846,0.735345278823675,0.0974474445096566,93.231,,FALSE,"mtbls79","MTBLS79","SPLIT08","REF_140","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.885413695004422,0.977271764199241,0.183716138389638,1754.24,,FALSE,"mtbls79","MTBLS79","SPLIT08","REF_141","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.885413695007172,0.977271764199242,0.18371613838414,1735.716,,FALSE,"mtbls79","MTBLS79","SPLIT08","REF_141","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.885413695031922,0.977271764199251,0.183716138334657,1714.351,,TRUE,"mtbls79","MTBLS79","SPLIT08","REF_141","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.895478261299874,0.979568104922298,0.168179687244848,3.68,,TRUE,"mtbls79","MTBLS79","SPLIT09","REF_146","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.895095339297081,0.978368913514947,0.166547148435731,200.15,,FALSE,"mtbls79","MTBLS79","SPLIT09","REF_146","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,114.617,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT09","REF_147","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.624937959021874,0.977293632807382,0.704711347571015,4894.565,"",FALSE,"mtbls79","MTBLS79","SPLIT09","REF_147","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",0.790893450199744,0.982996465647485,0.384206030895482,326.462,"",TRUE,"mtbls79","MTBLS79","SPLIT09","REF_147","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",0.233721039144747,0.974603192948475,1.48176430760746,226.134,"",FALSE,"mtbls79","MTBLS79","SPLIT09","REF_147","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.895858260945485,0.953943816911145,0.11617111193132,68.445,,FALSE,"mtbls79","MTBLS79","SPLIT09","REF_148","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.724628527167045,0.773972790366608,0.0986885263991261,69.017,,FALSE,"mtbls79","MTBLS79","SPLIT09","REF_148","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.89610744779051,0.953944985353387,0.115675075125754,83.635,,TRUE,"mtbls79","MTBLS79","SPLIT09","REF_148","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.681388309162589,0.73070073775354,0.0986248571819017,82.19,,FALSE,"mtbls79","MTBLS79","SPLIT09","REF_148","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.883470808261803,0.975364522273696,0.183787428023786,1483.604,,FALSE,"mtbls79","MTBLS79","SPLIT09","REF_149","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.883470808264532,0.975364522273696,0.183787428018329,1488.77,,FALSE,"mtbls79","MTBLS79","SPLIT09","REF_149","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.883470808289093,0.975364522273699,0.183787427969212,1478.275,,TRUE,"mtbls79","MTBLS79","SPLIT09","REF_149","serrf","SERRF",FALSE,FALSE,FALSE
1,"par_prior=TRUE","completed",0.895475580664346,0.980362067690015,0.169772974051337,2.028,,TRUE,"mtbls79","MTBLS79","SPLIT10","REF_154","combat","ComBat",FALSE,FALSE,FALSE
2,"par_prior=FALSE","completed",0.89539010847512,0.979447571099628,0.168114925249016,145.103,,FALSE,"mtbls79","MTBLS79","SPLIT10","REF_154","combat","ComBat",FALSE,FALSE,FALSE
1,"span=0.3","failed",,,,118.213,"span is too small",FALSE,"mtbls79","MTBLS79","SPLIT10","REF_155","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
2,"span=0.5","completed",0.62727763970561,0.980568674630889,0.706582069850557,4753.13,"",FALSE,"mtbls79","MTBLS79","SPLIT10","REF_155","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
3,"span=0.7","completed",0.830751435957372,0.985854247811341,0.310205623707939,304.961,"",TRUE,"mtbls79","MTBLS79","SPLIT10","REF_155","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
4,"span=0.9","completed",0.227204817239783,0.971625255065455,1.48884087565134,196.796,"",FALSE,"mtbls79","MTBLS79","SPLIT10","REF_155","qc_rlsc","QC-RLSC",FALSE,FALSE,FALSE
1,"ntree=200; coCV=20; Frule=0.8","completed",0.90177792025358,0.959018734487114,0.114481628467066,67.992,,FALSE,"mtbls79","MTBLS79","SPLIT10","REF_156","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
2,"ntree=200; coCV=30; Frule=0.8","completed",0.712722046257473,0.761449823440788,0.0974555543666286,68.705,,FALSE,"mtbls79","MTBLS79","SPLIT10","REF_156","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
3,"ntree=500; coCV=20; Frule=0.8","completed",0.902045401923564,0.959019656966339,0.113948510085549,84.144,,TRUE,"mtbls79","MTBLS79","SPLIT10","REF_156","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
4,"ntree=500; coCV=30; Frule=0.8","completed",0.681060760177286,0.72976488604487,0.0974082517351683,82.941,,FALSE,"mtbls79","MTBLS79","SPLIT10","REF_156","qc_rfsc","QC-RFSC",FALSE,FALSE,FALSE
1,"jitter_eps=0","completed",0.884854832060423,0.976472985200783,0.183236306280721,1458.191,,FALSE,"mtbls79","MTBLS79","SPLIT10","REF_157","serrf","SERRF",FALSE,FALSE,FALSE
2,"jitter_eps=1e-06","completed",0.884854832063144,0.976472985200784,0.183236306275281,1438.608,,FALSE,"mtbls79","MTBLS79","SPLIT10","REF_157","serrf","SERRF",FALSE,FALSE,FALSE
3,"jitter_eps=1e-05","completed",0.884854832087635,0.976472985200793,0.183236306226318,1449.353,,TRUE,"mtbls79","MTBLS79","SPLIT10","REF_157","serrf","SERRF",FALSE,FALSE,FALSE
