"dataset_key","dataset","method_id","method","batch_features_corrected","batch_weighted_pc_r2_categorical","drift_features_corrected","drift_profiles_corrected","heldout_qc_cv_mean","heldout_qc_cv_median","heldout_qc_cv_sd","residual_ljung_box_proportion_significant","residual_run_order_gam_mean_deviance","residual_run_order_gam_sd_deviance","retained_features","retained_samples","runtime_sec","truth_log1p_rmse","truth_metabolite_profile_icc_mean","truth_sample_profile_pearson_mean","biological_associated_features","biological_weighted_pc_r2","metabolite_icc_a1_median","sample_replicate_pearson_median","feature_repeatability_ratio_median","genuine_replicate_icc_median","cross_batch_effect_pearson_median"
"simulation","Simulation","raw","Raw",,0.965647338615417,,,44.2100431097472,41.8805446465495,31.0743750702016,0.2482,0.12764961730634,0.197313555439377,1000,500,0,0.290839531888212,0.586183758689398,0.521842186444926,,,,,,,
"simulation","Simulation","combat","ComBat",,0.000103519147488483,,,12.404955532938,10.9407293509127,9.39337549034977,0.2482,0.127649520286793,0.197313916613525,1000,500,,0.103140426488342,0.879386831580911,0.881066706839948,,,,,,,
"simulation","Simulation","qc_rlsc","QC-RLSC",,9.55201604490419e-05,,,11.3390164195857,8.9016310663309,8.59342587605704,0.0674,0.0533851989108539,0.0936286567526875,1000,500,,0.0889256275915072,0.905483269655236,0.907128419117509,,,,,,,
"simulation","Simulation","qc_rfsc","QC-RFSC",,0.144040149745443,,,14.7280131359941,13.6739926774638,9.97640419493849,0.2126,0.131085396618962,0.152511823326062,1000,500,,0.194483540578911,0.697701425617728,0.682481784426063,,,,,,,
"simulation","Simulation","tiger","TIGER",,0.0856924649544889,,,9.77314523581495,8.66752626251522,9.90368666058103,0.1754,0.0852308695427575,0.129574032865325,1000,500,1617.199,0.110947265883819,0.87329948453022,0.856328096042775,,,,,,,
"simulation","Simulation","serrf","SERRF",,0.000686301131247359,,,12.495344300561,10.524897988776,9.58874295720924,0.2006,0.0997710875953133,0.156531324905062,1000,500,,0.0953567821019156,0.887607914457796,0.879622363348465,,,,,,,
"simulation","Simulation","winn_auto_qc","WiNN auto (QC)",721,0.00100135976133962,696,1566,8.78288536211856,7.73686643153703,6.25266545924884,0.0086,0.0190598805330619,0.0319713597474127,1000,500,17.563,0.071593517780699,0.922321659529502,0.925989767122605,,,,,,,
"simulation","Simulation","winn_auto_batch_qc","WiNN auto-batch (QC)",703,0.190350299562417,884,1647,16.3142944058656,15.1128846355237,10.6230798483238,0.231,0.138876443356538,0.17987673081442,1000,500,21.503,0.102737640679052,0.858213013478024,0.868555221284607,,,,,,,
"simulation","Simulation","winn_fixed_no_qc","WiNN fixed default (no QC)",725,0.000984578035653711,655,1440,8.76629278513728,7.76573226958891,6.24541161559367,0.0078,0.020259360410254,0.033790592433155,1000,500,7.758,0.0717656363030658,0.922101988056287,0.925722367961271,,,,,,,
"mtbls79","MTBLS79","raw","Raw",,0.36098533296055,,,28.75722275311,23.4934863428841,19.850171192336,0.00296422829581994,0.14171601494383,0.170234776182955,2488,172,0,,,,990,0.342783223437302,0.548997409303439,0.952320686738354,,,
"mtbls79","MTBLS79","combat","ComBat",,0.00644324620622205,,,16.0925710818008,13.5625246962097,9.53336523229443,0.00296422829581994,0.141715985886593,0.170234794379896,2488,172,,,,,1000,0.468838695057742,0.695679958212752,0.978177327379065,,,
"mtbls79","MTBLS79","qc_rlsc","QC-RLSC",,0.0287481539807132,,,182.843579133277,179.015296457774,12.906551731027,0,0.0965669642695464,0.136866863263694,2488,172,258.677,,,,272,0.0507371995449736,0.0924363870265387,0.987598822200064,,,
"mtbls79","MTBLS79","qc_rfsc","QC-RFSC",,0.195482996167312,,,10.4280805137948,6.68811629876674,15.2007605384526,0.0028637459807074,0.156433139273831,0.17885305144419,2488,172,76.148,,,,759,0.434507372476898,0.619676984697669,0.993667266617772,,,
"mtbls79","MTBLS79","tiger","TIGER",,0.216351710561202,,,13.8067334269856,11.2128702839846,8.75289165249825,0.00216036977491961,0.141563001447443,0.167290680861559,2488,172,2969.131,,,,941,0.415480584055808,0.579479054575873,0.961437677896945,,,
"mtbls79","MTBLS79","serrf","SERRF",,0.00841627689119447,,,17.1093472644473,13.6862288281819,11.385206703494,0.00296422829581994,0.141716005240871,0.170234786326156,2488,172,1713.737,,,,1000,0.46610294740746,0.667618584540551,0.975109082132595,,,
"mtbls79","MTBLS79","winn_auto_qc","WiNN auto (QC)",1943,0.0112766397992278,48,61,15.9914877921284,13.3577279134429,9.84750229453242,0.000904340836012862,0.139680203207515,0.167337476114896,2488,172,16.819,,,,1005,0.466642276944317,0.679806955877126,0.976073321117563,,,
"mtbls79","MTBLS79","winn_auto_batch_qc","WiNN auto-batch (QC)",1905,0.0244132144404738,730,788,17.2970798365999,14.2971293359206,11.2555722993131,0.0010048231511254,0.137855571136823,0.167584188997046,2488,172,20.851,,,,988,0.46596793443404,0.660705737960497,0.973559682269081,,,
"mtbls79","MTBLS79","winn_fixed_no_qc","WiNN fixed default (no QC)",1860,0.0108480104370861,40,52,16.6785376235596,14.2477224431198,9.84009169616315,0.00221061093247588,0.140078697278888,0.168153066112504,2488,172,9.034,,,,1013,0.471479113913378,0.674414477673406,0.975436813944675,,,
"clinical_fiams","Clinical FIA-MS","raw","Raw",,0.150509455379697,,,16.5943872074111,13.9934798577153,10.7422622680348,0.154720828105395,0.120300147162855,0.145174570642038,1594,660,0,,,,,0.698982296703889,,0.983467072627652,0.648713511012684,0.980951466319722,
"clinical_fiams","Clinical FIA-MS","combat","ComBat",,0.00325637124009369,,,14.5490776587855,12.8975820562077,7.46990769037473,0.154720828105395,0.120300025396866,0.145174626430296,1594,660,,,,,,0.76933130563631,,0.987725723815802,0.66388849961035,0.985936215950445,
"clinical_fiams","Clinical FIA-MS","qc_rlsc","QC-RLSC",,0.00150491062425635,,,16.0721337884362,14.0783725606465,8.95494196956563,0.172678795483061,0.124361486408239,0.135263788753732,1594,660,11.498,,,,,0.771322434361669,,0.987998934131833,0.679188209688008,0.985576552808629,
"clinical_fiams","Clinical FIA-MS","qc_rfsc","QC-RFSC",,0.0198201318449868,,,16.8529043310112,14.508185382237,10.860951263773,0.141154328732748,0.113596751181853,0.118351830852781,1594,660,76.616,,,,,0.794136388172709,,0.991938486181745,0.714804949777671,0.989369318335346,
"clinical_fiams","Clinical FIA-MS","tiger","TIGER",,0.0302796966078811,,,14.0718306414914,11.5710177511309,10.6736458497483,0.0962986198243413,0.090270192098153,0.0972034878467162,1594,660,6002.527,,,,,0.791567942171666,,0.990178129786107,0.693714356986008,0.989190248939537,
"clinical_fiams","Clinical FIA-MS","serrf","SERRF",,0.00559464409873415,,,14.1245087357378,11.7450286019349,9.99241546714273,0.13801756587202,0.10794244146556,0.12678836184468,1594,660,953.103,,,,,0.784147036532642,,0.989048658011503,0.698061577326195,0.987794959818337,
"clinical_fiams","Clinical FIA-MS","winn_auto_qc","WiNN auto (QC)",1526,0.00218809939109416,1076,1531,10.9567695269855,9.71924520173299,4.67929582667416,0.123902132998745,0.082932682096861,0.0847480021248508,1594,660,28.834,,,,,0.820814794712933,,0.990847998063996,0.676814503051903,0.990720060604579,
