"dataset_key","dataset","method_id","method","batch_features_corrected","batch_weighted_pc_r2_categorical","drift_features_corrected","drift_profiles_corrected","heldout_qc_cv_mean","heldout_qc_cv_median","heldout_qc_cv_sd","residual_ljung_box_proportion_significant","residual_run_order_gam_mean_deviance","residual_run_order_gam_sd_deviance","retained_features","retained_samples","runtime_sec","truth_log1p_rmse","truth_metabolite_profile_icc_mean","truth_sample_profile_pearson_mean","biological_associated_features","biological_weighted_pc_r2","metabolite_icc_a1_median","sample_replicate_pearson_median","feature_repeatability_ratio_median","genuine_replicate_icc_median","cross_batch_effect_pearson_median"
"clinical_fiams","Clinical FIA-MS","winn_auto_batch_qc","WiNN auto-batch (QC)",841,0.00698232019049261,1526,2664,11.0300999455018,9.88590300486493,4.52008444917668,0.109002509410289,0.0752175087682554,0.0851198047833204,1594,660,32.663,,,,,0.808935545781455,,0.990988516405754,0.67265435278078,0.990850928299843,
"clinical_fiams","Clinical FIA-MS","winn_fixed_no_qc","WiNN fixed default (no QC)",1506,0.00205430716992057,1300,2297,12.4044092100879,11.0959804156287,5.42898031411995,0.0997490589711418,0.0727686471322973,0.0789910500858729,1594,660,10.922,,,,,0.799363081954994,,0.990747863696587,0.659272129860823,0.989834812702034,
"batchcorr_set1","BatchCorr Set 1","raw","Raw",,0.561111591272931,,,66.5698818959707,56.4902088016956,31.7107776545374,0.175376884422111,0.122438628105699,0.165539431290999,199,761,0,,,,172,0.589667357711897,,0.911453639180002,0.52175027169439,0.8853604114021,
"batchcorr_set1","BatchCorr Set 1","combat","ComBat",,0.000447151416436719,,,30.3003564485775,24.8199573905193,17.7827788361514,0.175376884422111,0.122438727653694,0.165539367655978,199,761,,,,,196,0.762101821085461,,0.949355926423882,0.676592500553593,0.940278067267788,
"batchcorr_set1","BatchCorr Set 1","qc_rlsc","QC-RLSC",,0.000194747919441527,,,31.3032730527201,25.6368730360763,18.4635155491609,0.105527638190955,0.0903091334483645,0.106203488762616,199,761,,,,,196,0.805346825674997,,0.949840425728827,0.701239503420736,0.942322287292246,
"batchcorr_set1","BatchCorr Set 1","qc_rfsc","QC-RFSC",,0.325051677252748,,,53.2325962192054,37.8932678700974,39.4273907855833,0.169346733668342,0.120635344473367,0.157791148909283,199,761,7.459,,,,178,0.656552743426929,,0.994723502030228,0.61157325042727,0.993521166046679,
"batchcorr_set1","BatchCorr Set 1","tiger","TIGER",,0.0526939397083855,,,23.4835903519785,19.9452886102619,13.4715067245728,0.085427135678392,0.0827030523247444,0.108871978399446,199,761,399.01,,,,191,0.801420424862291,,0.946168373317855,0.674481755057735,0.939232882979632,
"batchcorr_set1","BatchCorr Set 1","serrf","SERRF",,0.00435624904876198,,,30.2796087138303,24.5776902517057,19.328829540954,0.175376884422111,0.122438628681521,0.165539431447017,199,761,117.93,,,,193,0.748052224380426,,0.948209823659858,0.665367807037627,0.937650573623322,
"batchcorr_set1","BatchCorr Set 1","winn_auto_qc","WiNN auto (QC)",194,0.000566990241618206,133,323,23.9030303379891,19.7204351703675,16.7576614244521,0.00603015075376884,0.0464906510990335,0.056344057207169,199,761,5.721,,,,197,0.843276697598098,,0.956455981699553,0.701627398908381,0.956281228043333,
"batchcorr_set1","BatchCorr Set 1","winn_auto_batch_qc","WiNN auto-batch (QC)",191,0.0125324272970689,176,424,24.8748188818013,20.5204225640726,16.9641238139339,0.0170854271356784,0.0465432932186145,0.0822037526755366,199,761,6.761,,,,198,0.832337531674397,,0.955530543368313,0.697962844257478,0.955033829071577,
"batchcorr_set1","BatchCorr Set 1","winn_fixed_no_qc","WiNN fixed default (no QC)",195,0.000567147968917397,150,373,26.6652760811313,21.6389016588586,16.1017669031863,0.0085427135678392,0.043772965202549,0.0555122121880683,199,761,2.324,,,,197,0.829484175037435,,0.957541057965195,0.695315540683156,0.953917516280415,
"sacurine","Sacurine","raw","Raw",,0.131658082609212,,,32.5994242278841,28.9001231259555,16.559428139738,0.128318584070796,0.0684058304178776,0.0800503403159908,113,210,0,,,,30,0.0241181676205405,,,,,0.535009679276094
"sacurine","Sacurine","combat","ComBat",,0.000511163884187992,,,26.8154383406086,24.1953378514475,12.4262897252536,0.128318584070796,0.0684058359503175,0.0800503430158542,113,210,,,,,31,0.0269894116515146,,,,,0.529143990274528
"sacurine","Sacurine","qc_rlsc","QC-RLSC",,0.000115135878716251,,,14.5016797069405,9.98180405571562,13.2313738339793,0.00442477876106195,0.0371448483850514,0.0410649271671009,113,210,0.278,,,,37,0.0393374198653091,,,,,0.536127596844908
"sacurine","Sacurine","qc_rfsc","QC-RFSC",,0.0137370036605432,,,7.32552583839107,3.9845762099117,14.1546893182206,0.00884955752212389,0.0371804141979941,0.0466505920239481,113,210,1.915,,,,47,0.0481466086536595,,,,,0.496674712697641
"sacurine","Sacurine","tiger","TIGER",,0.00178167097094416,,,10.1930094989336,7.57004520401614,7.79671066230025,0.0132743362831858,0.0388302972708426,0.0519279550818996,113,210,87.868,,,,32,0.0370870503948378,,,,,0.492172408403618
"sacurine","Sacurine","serrf","SERRF",,0.0019315491172379,,,17.0109024488018,13.7795519620218,9.65480704252698,0.0619469026548673,0.0555820775458359,0.0702428604102507,113,210,,,,,37,0.0331043302571546,,,,,0.544101149303009
"sacurine","Sacurine","winn_auto_qc","WiNN auto (QC)",85,0.000415820234223158,42,52,16.0063160088905,12.5857281224797,11.7258189039911,0.0265486725663717,0.0435650355720423,0.051018172700969,113,210,0.938,,,,47,0.0488286682263038,,,,,0.566958884057713
"sacurine","Sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)",84,0.000489308961332933,14,15,17.673468020507,14.6501955108601,12.3916811786805,0.0309734513274336,0.0397114522391577,0.0567367521918702,113,210,1.243,,,,50,0.0479565940051655,,,,,0.565550550372571
"sacurine","Sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)",82,0.000737747609499402,37,44,22.421913234801,20.7262308662042,10.0042736885185,0.0309734513274336,0.0520147926987853,0.0673011809210797,113,210,3.296,,,,48,0.0457852706905809,,,,,0.537221386297552
"waveica","WaveICA","raw","Raw",,0.69436740649987,,,49.6615125014856,43.4386738587829,29.0476446241413,0.598565753495331,0.205768293336358,0.232415409330365,6461,642,0,,,,206,0.00276573078388549,,,,,0.261918456568283
"waveica","WaveICA","combat","ComBat",,0.000465422730130473,,,40.2404130226057,32.1282217885861,29.6946519957335,0.600629417530826,0.20730699988528,0.2334738891556,6461,642,,,,,372,0.00743208924888678,,,,,0.264101991446489
"waveica","WaveICA","qc_rlsc","QC-RLSC",,0.00158298745775718,,,39.3267820613923,28.6003336946251,36.8102222202844,0.464375999587267,0.108717975881041,0.12884254876152,6461,642,22.035,,,,428,0.0114766457778449,,,,,0.260713661433927
"waveica","WaveICA","qc_rfsc","QC-RFSC",,0.509560684056,,,16.8629439487961,11.152442803801,23.0460527668784,0.608368157663932,0.122241940652603,0.13340840308066,6461,642,537.756,,,,402,0.0097539590939671,,,,,0.357673146501632
"waveica","WaveICA","tiger","TIGER",,0.500613460279628,,,26.1426296583401,20.716154699515,23.1641386144813,0.431976474229995,0.113395157207543,0.143286166062395,6461,642,14426.045,,,,262,0.00672360399596334,,,,,0.225219495165985
"waveica","WaveICA","serrf","SERRF",,0.0416086941522562,,,34.0434795508229,27.1756675263304,30.6767218259342,0.44152092039416,0.1172290395345,0.146714304112894,6461,642,2081.708,,,,327,0.00941153986851976,,,,,0.220201288823857
"waveica","WaveICA","winn_auto_qc","WiNN auto (QC)",6298,0.00185791740415135,5374,11370,38.1178028673346,27.1800102592144,39.215388565037,0.13780116597018,0.018349334505791,0.0298508100141336,6461,642,131.779,,,,508,0.0150023981703196,,,,,0.283237072253612
"waveica","WaveICA","winn_auto_batch_qc","WiNN auto-batch (QC)",0,0.481365148138614,6335,6335,40.9082423195738,34.8527338938119,25.7413532434699,0.601558066346799,0.211998247026591,0.23788340205012,6461,642,65.558,,,,276,0.004566263614326,,,,,0.268435255972362
"waveica","WaveICA","winn_fixed_no_qc","WiNN fixed default (no QC)",6298,0.00207900815504909,5675,12480,38.3003440498814,27.2736232431653,39.5165917241963,0.135118402724037,0.0141634445598343,0.0256953788431241,6461,642,49.106,,,,515,0.0142279960061751,,,,,0.266637781078006
