"analysis_family","task_id","dataset_key","seed_id","method_id","method","reuse_decision","execution_runtime_sec","reported_method_runtime_sec","runtime_provenance"
"primary","PRIMARY_051","waveica",,"serrf","SERRF","rerun_required",2081.708,2081.708,"measured method execution in frozen release"
"primary","PRIMARY_052","waveica",,"winn_auto_qc","WiNN auto (QC)","rerun_required",131.779,131.779,"measured method execution in frozen release"
"primary","PRIMARY_053","waveica",,"winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",65.558,65.558,"measured method execution in frozen release"
"primary","PRIMARY_054","waveica",,"winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",49.106,49.106,"measured method execution in frozen release"
"simulation_seed","SIM_001","simulation","SIM01","raw","Raw","reuse_exact",0.055,0,"no correction"
"simulation_seed","SIM_002","simulation","SIM01","combat","ComBat","reuse_exact",0.117,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_003","simulation","SIM01","qc_rlsc","QC-RLSC","reuse_exact",0.048,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_004","simulation","SIM01","qc_rfsc","QC-RFSC","reuse_exact",0.043,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_005","simulation","SIM01","tiger","TIGER","rerun_required",1607.777,1607.777,"measured method execution in frozen release"
"simulation_seed","SIM_006","simulation","SIM01","serrf","SERRF","reuse_exact",0.046,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_007","simulation","SIM01","winn_auto_qc","WiNN auto (QC)","rerun_required",18.746,18.746,"measured method execution in frozen release"
"simulation_seed","SIM_008","simulation","SIM01","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",21.22,21.22,"measured method execution in frozen release"
"simulation_seed","SIM_009","simulation","SIM01","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",7.013,7.013,"measured method execution in frozen release"
"simulation_seed","SIM_010","simulation","SIM02","raw","Raw","reuse_exact",0.042,0,"no correction"
"simulation_seed","SIM_011","simulation","SIM02","combat","ComBat","reuse_exact",0.052,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_012","simulation","SIM02","qc_rlsc","QC-RLSC","reuse_exact",0.036,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_013","simulation","SIM02","qc_rfsc","QC-RFSC","reuse_exact",0.04,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_014","simulation","SIM02","tiger","TIGER","rerun_required",1562.059,1562.059,"measured method execution in frozen release"
"simulation_seed","SIM_015","simulation","SIM02","serrf","SERRF","reuse_exact",0.064,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_016","simulation","SIM02","winn_auto_qc","WiNN auto (QC)","rerun_required",16.488,16.488,"measured method execution in frozen release"
"simulation_seed","SIM_017","simulation","SIM02","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",18.788,18.788,"measured method execution in frozen release"
"simulation_seed","SIM_018","simulation","SIM02","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",6.798,6.798,"measured method execution in frozen release"
"simulation_seed","SIM_019","simulation","SIM03","raw","Raw","reuse_exact",0.04,0,"no correction"
"simulation_seed","SIM_020","simulation","SIM03","combat","ComBat","reuse_exact",0.055,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_021","simulation","SIM03","qc_rlsc","QC-RLSC","reuse_exact",0.05,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_022","simulation","SIM03","qc_rfsc","QC-RFSC","reuse_exact",0.049,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_023","simulation","SIM03","tiger","TIGER","rerun_required",1689.704,1689.704,"measured method execution in frozen release"
"simulation_seed","SIM_024","simulation","SIM03","serrf","SERRF","reuse_exact",0.048,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_025","simulation","SIM03","winn_auto_qc","WiNN auto (QC)","rerun_required",17.523,17.523,"measured method execution in frozen release"
"simulation_seed","SIM_026","simulation","SIM03","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",19.4,19.4,"measured method execution in frozen release"
"simulation_seed","SIM_027","simulation","SIM03","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",6.542,6.542,"measured method execution in frozen release"
"simulation_seed","SIM_028","simulation","SIM04","raw","Raw","reuse_exact",0.042,0,"no correction"
"simulation_seed","SIM_029","simulation","SIM04","combat","ComBat","reuse_exact",0.039,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_030","simulation","SIM04","qc_rlsc","QC-RLSC","reuse_exact",0.045,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_031","simulation","SIM04","qc_rfsc","QC-RFSC","reuse_exact",0.047,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_032","simulation","SIM04","tiger","TIGER","rerun_required",2187.481,2187.481,"measured method execution in frozen release"
"simulation_seed","SIM_033","simulation","SIM04","serrf","SERRF","reuse_exact",0.043,,"not remeasured; cache retrieval time excluded"
"simulation_seed","SIM_034","simulation","SIM04","winn_auto_qc","WiNN auto (QC)","rerun_required",19.278,19.278,"measured method execution in frozen release"
"simulation_seed","SIM_035","simulation","SIM04","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",19.764,19.764,"measured method execution in frozen release"
"simulation_seed","SIM_036","simulation","SIM04","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",7.293,7.293,"measured method execution in frozen release"
"simulation_seed","SIM_037","simulation","SIM05","raw","Raw","reuse_exact",0.046,0,"no correction"
"simulation_seed","SIM_038","simulation","SIM05","combat","ComBat","reuse_exact",0.061,,"not remeasured; cache retrieval time excluded"
