"task_id","dataset_key","method_id","method","reuse_decision","seed","execution_runtime_sec","reported_method_runtime_sec","runtime_provenance","wall_sec","n_features","n_samples","warning_lines","error_lines","input_object_sha256","output_object_sha256","matrix_file_sha256","conditions_log_sha256","package_version","package_source_sha256","started_at","completed_at"
"PRIMARY_037","sacurine","raw","Raw","reuse_exact",2026072637,0.097,0,"no correction",0.8982,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","08981c6f1d6b06b1d1411ed7b05451e129ee1cb86bbf0f189eeb34b0c0c9e4d8","925c06cd4eecd95e7898227304e313dbeb362f274b565f3651e8f9b20e4d85a8","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:29+0200"
"PRIMARY_038","sacurine","combat","ComBat","reuse_exact",2026072638,0.104,,"not remeasured; cache retrieval time excluded",0.9104,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","29531cc99bd273999b4c2b5651530eadd893695be7e570e3a5edb48c34eb30a9","fcc6c33d4312330adedbf61dec2e8c2517cd999996b476170490ff39f9c40340","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:29+0200"
"PRIMARY_039","sacurine","qc_rlsc","QC-RLSC","rerun_required",2026072639,0.278,0.278,"measured method execution in frozen release",0.894,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","2f68fdf8ead133ce521675c669fef2c2180afa8267fdecac26c201ce4c4e4922","5d837b591fb812824be6090046b1d736d9b9924ba63267f62e467f26f0de9acd","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:27+0200","2026-07-26T01:57:28+0200"
"PRIMARY_040","sacurine","qc_rfsc","QC-RFSC","rerun_required",2026072640,1.915,1.915,"measured method execution in frozen release",2.5608,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","b85ea412c93b5591af9ca7ca2656603b2e7e62a0b7bc7401bbaebe380fd2bdff","e941c508cad4282045766c522c295cb86497ffa7df8c30f5e701589c624d6d4b","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:01:09+0200","2026-07-26T02:01:12+0200"
"PRIMARY_041","sacurine","tiger","TIGER","rerun_required",2026072641,87.868,87.868,"measured method execution in frozen release",88.5681,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","0a9bf169885a0d2f2702cad10595bd9d43f85f84131a4147bd1a4c3c0de8d355","2ae75f17bf3bdfaccd1a9d2de2b728dedc38a1d3804b03ed55008d39e5f5b580","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:01+0200","2026-07-26T01:57:30+0200"
"PRIMARY_042","sacurine","serrf","SERRF","reuse_exact",2026072642,0.099,,"not remeasured; cache retrieval time excluded",0.6871,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","aee77ee17271fa58c5d6c7f63f6ac715117c744f5153b7733a7692bd85ae0d3b","59aecc3962332439b18c113fbcc48897af4574918ac033e758a247685a476401","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:28+0200"
"PRIMARY_043","sacurine","winn_auto_qc","WiNN auto (QC)","rerun_required",2026072643,0.938,0.938,"measured method execution in frozen release",1.5456,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","eb3e3644bd7eb61f1b8676410b0f5394a610357aa7c83ccd8476adb040db3719","5d1a1a787ca69848e93e567c5a6e4d1fea393349c1e6cc5675441fac88f093fd","9a63b45ae5975b496b87bb2d059ad984524e4a644982c8d8d789c7d5d490a9fa","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:28+0200","2026-07-26T01:57:29+0200"
"PRIMARY_044","sacurine","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",2026072644,1.243,1.243,"measured method execution in frozen release",1.9034,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","6204f30c5c4342ed8297694917a9f7f919a9e0a86d4a133caea9ff1ba3d489fb","04fb549570695c9bb61e16d3c863fe378bf15f8e6aade69ae7cd697a67279b64","26b5a3b04cc07554025f837870798ec703800d3a2152fa202236c89f71286257","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:27+0200","2026-07-26T01:57:29+0200"
"PRIMARY_045","sacurine","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",2026072645,3.296,3.296,"measured method execution in frozen release",9.7879,113,210,0,0,"f93bc72dbe6c9c9db9855b98e3422db52e54e294a4a89622f644b5176263a58c","a93a280b12d37fd7d99d1e1486087cb841b91de5442976c3dd6656fa9927d384","585209fe22ebbefbff73ea0d8ea761894f580bbed24e52c76b48df744ada1ad2","4bc016d34411e1ed63b9d8b12740f0d0b286aea0cb5cf9d9098f414aea2d72e9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:50:39+0200","2026-07-26T01:50:49+0200"
"PRIMARY_046","waveica","raw","Raw","reuse_exact",2026072646,1.496,0,"no correction",7.6962,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","c6d45613dc7f0968cfdadee6bea8d6c0af9bd2ad6c759d76931c9728e5cdec5b","5afe89f7f0238ebe928bce3bab6a1cf81e70d3694fe4d09209090b090967c05d","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:29+0200","2026-07-26T01:57:36+0200"
"PRIMARY_047","waveica","combat","ComBat","reuse_exact",2026072647,2.163,,"not remeasured; cache retrieval time excluded",8.5759,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","5d285487b9c0e57e2802dd45267f32d283740d7ee5dd576b7d87dcf96c2224a1","9e3ee509c3c3b44b5afac85714002593c6a8b5ceb419b57e5ca89d1c2238a800","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:29+0200","2026-07-26T01:57:37+0200"
"PRIMARY_048","waveica","qc_rlsc","QC-RLSC","rerun_required",2026072648,22.035,22.035,"measured method execution in frozen release",28.0083,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","5504909e38ba0a68d68c43fd44bdb2854faeb8430579f6a50b2916c08e698cdf","39ea76b292b393dc06ac9e1d160971a02eca80195261d364e987d75667bd70d6","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:29+0200","2026-07-26T01:57:57+0200"
"PRIMARY_049","waveica","qc_rfsc","QC-RFSC","rerun_required",2026072649,537.756,537.756,"measured method execution in frozen release",544.9344,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","e6a96f182a1957fa375c4311aa9e89c2a6268e2020c71186f141f8daf04eb6bd","7f4f6f897fb222451a50f3342ea9137133f441daab960cf8122bd5bd9fd2a3ed","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:57:31+0200","2026-07-26T02:06:36+0200"
"PRIMARY_050","waveica","tiger","TIGER","rerun_required",2026072650,14426.045,14426.045,"measured method execution in frozen release",14432.7665,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","ef8a592c9d6408f4469b8e7d524d251c24fd6ceade77d1b1fe1937f1a4ae7219","3111696dd2142c0c526255eab5ce509acc8c35b112f928d652bbf142d28dbeda","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T14:45:50+0200","2026-07-26T18:46:23+0200"
"PRIMARY_051","waveica","serrf","SERRF","rerun_required",2026072651,2081.708,2081.708,"measured method execution in frozen release",2088.2958,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","865aa1801a77464345d52e137cdf3748819d614c1f0c03db1ce43c93e003b98c","4aafada545ebd8eae10bf5ca725571c07fb9fa08cfbaa861179135f8ea53cbbb","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:00:04+0200","2026-07-26T02:34:53+0200"
"PRIMARY_052","waveica","winn_auto_qc","WiNN auto (QC)","rerun_required",2026072652,131.779,131.779,"measured method execution in frozen release",138.5071,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","78caabf52c5033a25215d4d9135b734a915fa98e6e472be61f162e3cbb6daed7","17cf3191f87728ab6e5c354e22bfa24b384568e84b14ec4d38ffc7da4658c4eb","f3e63c5678543e48f60e508a3290786a91edabce2c377f68b644ea15763adc8e","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:00:04+0200","2026-07-26T02:02:23+0200"
"PRIMARY_053","waveica","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",2026072653,65.558,65.558,"measured method execution in frozen release",73.1149,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","ba10444694c57a4fe24c62e29b9d498d9de9e200795046af505c668be4c1e146","6e2d6969ac6b8486bf176f55001f43363a37a77d4a143a98a90221d654a81250","666e0bb93d7965e08a32da5974ba6f89767e831db1e8a50bd4a54758d0260290","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:00:06+0200","2026-07-26T02:01:19+0200"
"PRIMARY_054","waveica","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",2026072654,49.106,49.106,"measured method execution in frozen release",55.524,6461,642,0,0,"fd78ee44fe9e3844589bd2586133bc2685432b135026875a98cf8b621909a47f","0fde6ddc9b827f8e196de0a15f9acdfc907bfd7050fe377a2f93ea36797c142b","6922e458a761a2553aa25376e4d6a1a2279e18494e77d4f93d29130f33dfde98","4bc016d34411e1ed63b9d8b12740f0d0b286aea0cb5cf9d9098f414aea2d72e9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:00:04+0200","2026-07-26T02:00:59+0200"
