"task_id","dataset_key","method_id","method","reuse_decision","seed","execution_runtime_sec","reported_method_runtime_sec","runtime_provenance","wall_sec","n_features","n_samples","warning_lines","error_lines","input_object_sha256","output_object_sha256","matrix_file_sha256","conditions_log_sha256","package_version","package_source_sha256","started_at","completed_at"
"PRIMARY_011","mtbls79","combat","ComBat","reuse_exact",2026072611,0.136,,"not remeasured; cache retrieval time excluded",2.1893,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","b5d71d5602bab25fa5aea1a2a7aeb6547356ef5c7972f996ce7a060554250653","84c1f3565b8ced299f2b83b41030110f771474686697c2b2fc241eb4d8fa98c6","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T01:56:01+0200"
"PRIMARY_012","mtbls79","qc_rlsc","QC-RLSC","rerun_required",2026072612,258.677,258.677,"measured method execution in frozen release",260.7352,2488,172,31,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","baf501ab32d80c73fd0177b2714406fecfed8f3cbdf8d02d340ed425035de533","3a772300eb0537c1a7fb3c366236f3665b8e63b04728b93a1a02c52aed583423","bdc0ed297064d8da1ba059db2164b4a50e7fa6a12cc13d4c1176d3fb5caf52d6","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:59+0200","2026-07-26T02:00:19+0200"
"PRIMARY_013","mtbls79","qc_rfsc","QC-RFSC","rerun_required",2026072613,76.148,76.148,"measured method execution in frozen release",77.9901,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","cfc48e1198041437a15b868dba065daf51886b4bcea2a8c9acbcf9e71572cb0c","cb1f3fea15d5e66436f4f436ce1f9eecad3f9f8dce13e7eae7efcbd85885901b","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T02:01:09+0200","2026-07-26T02:02:27+0200"
"PRIMARY_014","mtbls79","tiger","TIGER","rerun_required",2026072614,2969.131,2969.131,"measured method execution in frozen release",2970.7042,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","cb08f2cf990b0e8e3cbe8e0a3505a216dbfb2dac945b87b781453fbf88a9f658","aec58cb234f5ace4aed69bb404efc439540245cd60329129df23c3a1a99560cf","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:57+0200","2026-07-26T02:45:28+0200"
"PRIMARY_015","mtbls79","serrf","SERRF","rerun_required",2026072615,1713.737,1713.737,"measured method execution in frozen release",1715.7851,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","4d51558f8bc9e4c7bd6ac676d864546ac6ed49f60d64bff63e5d2e62043bcd48","c626bff7a5ab74e07965b5adee03b9863bafcafa824eb41b461f65693a755cee","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T02:24:36+0200"
"PRIMARY_016","mtbls79","winn_auto_qc","WiNN auto (QC)","rerun_required",2026072616,16.819,16.819,"measured method execution in frozen release",18.914,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","d82a56f0695393fca81fc2bb055c5cb9288e8e83ae75f578602ae4438e6363d6","feff9034416098a78c171ac4c0c2bc01c588b346966e7292eeb9a6a10c99f2dd","e05af31dec1a9005846773e0664849cb6e5789779eccc783a4151bdb125943e4","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T01:56:19+0200"
"PRIMARY_017","mtbls79","winn_auto_batch_qc","WiNN auto-batch (QC)","rerun_required",2026072617,20.851,20.851,"measured method execution in frozen release",22.9122,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","312bcc9f9a2762e3a244be9031b2b54dd655479d67e8e7e50c819de19b7e7ada","a5457753eabef798a36f961d43418757252bd22b33fa7f8ae861837065619aab","b412f3b7ce65f5dc160bdce79a5abae165491300d694327c4de09b647d0ae5d0","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T01:56:23+0200"
"PRIMARY_018","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","rerun_required",2026072618,9.034,9.034,"measured method execution in frozen release",11.1214,2488,172,0,0,"534b8cb02685f04aeff548208d3127967d756e0203c4c56ee056b445c6b4a408","dcc55403b69aad35e7d76297d6081db01091849f4f2ea38b0fb8398ce8046ecb","eedea64735fe995dfe82c258ff919a39f3d75e5f8684f2d2755db27ee4951b1c","4bc016d34411e1ed63b9d8b12740f0d0b286aea0cb5cf9d9098f414aea2d72e9","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:56:00+0200","2026-07-26T01:56:11+0200"
"PRIMARY_019","clinical_fiams","raw","Raw","reuse_exact",2026072619,7.632,0,"no correction",24.8328,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","bca4831b6b20728481c414abf02ce77ec859f9be84e81762b0058c79f3d7700c","5cd206835e4da5f67baf664bd07709c8518c969823c1072b6800fccfee4c979b","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:50:39+0200","2026-07-26T01:51:04+0200"
"PRIMARY_020","clinical_fiams","combat","ComBat","reuse_exact",2026072620,2.074,,"not remeasured; cache retrieval time excluded",5.6203,1594,660,0,0,"38d77f7fe5f065af7f6b3188c1e5d6f00998327ebba349075e83a226865211cd","d05ea6aba3767b216932ac4474067d5b110b8db084acec695e85f925d1159f7a","12a15a13b6d09bc10e4c8f6b2e24f1209ee57626cc5ec55a40a6cb6a41c373e2","22be6b55ac2a38b538dc238cdf39e95cd512c93c96921583baf74c76ce3a09fc","0.1.4","71a0964cee2778b2e5789d20621147e074c7945e813cf76af2ceeb696104aae1","2026-07-26T01:55:58+0200","2026-07-26T01:56:03+0200"
