"scenario_id","seed_id","method","metric","value","metric_direction","units","status","confounding_type","level"
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive",0.462781070760297,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","median_attenuation_ratio_clean_responsive",0.941400732744755,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","sign_concordance_responsive",1,"higher","correlation_or_proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","n_discoveries_bh_0p05",109,"descriptive","count","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","true_positive_rate",1,"higher","proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","empirical_fdr",0.0825688073394495,"lower","proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","null_feature_false_positive_rate",0.01,"lower","proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_log1p_rmse_study",0.0731256592594364,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_sample_profile_pearson_mean",0.923526931497088,"higher","correlation_or_proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_sample_profile_pearson_median",0.924575173210295,"higher","correlation_or_proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_feature_profile_pearson_mean",0.943112764068805,"higher","correlation_or_proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_feature_profile_pearson_median",0.950187065356239,"higher","correlation_or_proportion","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_feature_icc_a1_mean",0.920826538340652,"higher","value","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","clean_feature_icc_a1_median",0.938745178081,"higher","value","calculated","none",0
"CONF01_none_0p00","CONF01","WiNN fixed default (no QC)","heldout_qc_cv_mean",9.17034528112062,"lower","percent","calculated","none",0
