"analysis_family","task_id","dataset_key","seed_id","split_id","method_id","method","output_dir","floor_applied","negative_values_floored","features_with_flooring","samples_with_flooring","minimum_before_floor","rule"
"primary","PRIMARY_028","batchcorr_set1",,,"raw","Raw","results/primary/batchcorr_set1/raw",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_029","batchcorr_set1",,,"combat","ComBat","results/primary/batchcorr_set1/combat",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_030","batchcorr_set1",,,"qc_rlsc","QC-RLSC","results/primary/batchcorr_set1/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_031","batchcorr_set1",,,"qc_rfsc","QC-RFSC","results/primary/batchcorr_set1/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_032","batchcorr_set1",,,"tiger","TIGER","results/primary/batchcorr_set1/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_033","batchcorr_set1",,,"serrf","SERRF","results/primary/batchcorr_set1/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_034","batchcorr_set1",,,"winn_auto_qc","WiNN auto (QC)","results/primary/batchcorr_set1/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_035","batchcorr_set1",,,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/primary/batchcorr_set1/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_036","batchcorr_set1",,,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/primary/batchcorr_set1/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_037","sacurine",,,"raw","Raw","results/primary/sacurine/raw",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_038","sacurine",,,"combat","ComBat","results/primary/sacurine/combat",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_039","sacurine",,,"qc_rlsc","QC-RLSC","results/primary/sacurine/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_040","sacurine",,,"qc_rfsc","QC-RFSC","results/primary/sacurine/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_041","sacurine",,,"tiger","TIGER","results/primary/sacurine/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_042","sacurine",,,"serrf","SERRF","results/primary/sacurine/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_043","sacurine",,,"winn_auto_qc","WiNN auto (QC)","results/primary/sacurine/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_044","sacurine",,,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/primary/sacurine/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_045","sacurine",,,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/primary/sacurine/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_046","waveica",,,"raw","Raw","results/primary/waveica/raw",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_047","waveica",,,"combat","ComBat","results/primary/waveica/combat",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_048","waveica",,,"qc_rlsc","QC-RLSC","results/primary/waveica/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_049","waveica",,,"qc_rfsc","QC-RFSC","results/primary/waveica/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_050","waveica",,,"tiger","TIGER","results/primary/waveica/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_051","waveica",,,"serrf","SERRF","results/primary/waveica/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_052","waveica",,,"winn_auto_qc","WiNN auto (QC)","results/primary/waveica/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_053","waveica",,,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/primary/waveica/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"primary","PRIMARY_054","waveica",,,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/primary/waveica/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
