"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"runtime_sec",6.119,"lower",1,"seconds","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","C4_FULL_FIXED","+ PQN","Simulation"
"heldout_qc_cv_mean",8.76629278513728,"lower",1000,"percent","","simulation","G_SS","selective/selective","Simulation"
"heldout_qc_cv_sd",6.24541161559367,"lower",1000,"percent","","simulation","G_SS","selective/selective","Simulation"
"heldout_qc_cv_median",7.76573226958891,"lower",1000,"percent","","simulation","G_SS","selective/selective","Simulation"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","G_SS","selective/selective","Simulation"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","G_SS","selective/selective","Simulation"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","G_SS","selective/selective","Simulation"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_SS","selective/selective","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","G_SS","selective/selective","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","G_SS","selective/selective","Simulation"
"runtime_sec",6.119,"lower",1,"seconds","","simulation","G_SS","selective/selective","Simulation"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","G_SS","selective/selective","Simulation"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","G_SS","selective/selective","Simulation"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","G_SS","selective/selective","Simulation"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","G_SS","selective/selective","Simulation"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","G_SS","selective/selective","Simulation"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","G_SS","selective/selective","Simulation"
"heldout_qc_cv_mean",10.7950921650205,"lower",1000,"percent","","simulation","G_AS","all/selective","Simulation"
"heldout_qc_cv_sd",5.09851469131674,"lower",1000,"percent","","simulation","G_AS","all/selective","Simulation"
"heldout_qc_cv_median",9.43095014939824,"lower",1000,"percent","","simulation","G_AS","all/selective","Simulation"
"residual_run_order_gam_mean_deviance",0.000773516898207875,"lower",5000,"proportion","","simulation","G_AS","all/selective","Simulation"
"residual_run_order_gam_sd_deviance",0.00295914512847696,"lower",5000,"proportion","","simulation","G_AS","all/selective","Simulation"
"residual_ljung_box_proportion_significant",0.0132,"lower",5000,"proportion","","simulation","G_AS","all/selective","Simulation"
"batch_weighted_pc_r2_categorical",0.000850718286039682,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_AS","all/selective","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","G_AS","all/selective","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","G_AS","all/selective","Simulation"
"runtime_sec",13.657,"lower",1,"seconds","","simulation","G_AS","all/selective","Simulation"
"drift_profiles_corrected",5000,"descriptive",5000,"profiles","","simulation","G_AS","all/selective","Simulation"
"drift_features_corrected",1000,"descriptive",1000,"features","","simulation","G_AS","all/selective","Simulation"
"batch_features_corrected",728,"descriptive",1000,"features","","simulation","G_AS","all/selective","Simulation"
"truth_metabolite_profile_icc_mean",0.910460210285255,"higher",1000,"ICC(A,1)","","simulation","G_AS","all/selective","Simulation"
"truth_sample_profile_pearson_mean",0.914863811819088,"higher",450,"correlation","","simulation","G_AS","all/selective","Simulation"
"truth_log1p_rmse",0.0755212043596487,"lower",450000,"log1p intensity","","simulation","G_AS","all/selective","Simulation"
"heldout_qc_cv_mean",9.10860426114912,"lower",1000,"percent","","simulation","G_SA","selective/all","Simulation"
"heldout_qc_cv_sd",5.90142525941107,"lower",1000,"percent","","simulation","G_SA","selective/all","Simulation"
"heldout_qc_cv_median",7.85893016567543,"lower",1000,"percent","","simulation","G_SA","selective/all","Simulation"
"residual_run_order_gam_mean_deviance",0.0202504886317659,"lower",5000,"proportion","","simulation","G_SA","selective/all","Simulation"
"residual_run_order_gam_sd_deviance",0.0337660629426647,"lower",5000,"proportion","","simulation","G_SA","selective/all","Simulation"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","G_SA","selective/all","Simulation"
"batch_weighted_pc_r2_categorical",9.15272892016977e-05,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_SA","selective/all","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","G_SA","selective/all","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","G_SA","selective/all","Simulation"
"runtime_sec",5.792,"lower",1,"seconds","","simulation","G_SA","selective/all","Simulation"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","G_SA","selective/all","Simulation"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","G_SA","selective/all","Simulation"
"batch_features_corrected",1000,"descriptive",1000,"features","","simulation","G_SA","selective/all","Simulation"
"truth_metabolite_profile_icc_mean",0.921230243391027,"higher",1000,"ICC(A,1)","","simulation","G_SA","selective/all","Simulation"
"truth_sample_profile_pearson_mean",0.924797943507282,"higher",450,"correlation","","simulation","G_SA","selective/all","Simulation"
"truth_log1p_rmse",0.0721145524012737,"lower",450000,"log1p intensity","","simulation","G_SA","selective/all","Simulation"
"heldout_qc_cv_mean",10.9169677941253,"lower",1000,"percent","","simulation","G_AA","all/all","Simulation"
"heldout_qc_cv_sd",5.06025497581264,"lower",1000,"percent","","simulation","G_AA","all/all","Simulation"
"heldout_qc_cv_median",9.70138424815032,"lower",1000,"percent","","simulation","G_AA","all/all","Simulation"
"residual_run_order_gam_mean_deviance",0.000773314503840401,"lower",5000,"proportion","","simulation","G_AA","all/all","Simulation"
"residual_run_order_gam_sd_deviance",0.00296620240447871,"lower",5000,"proportion","","simulation","G_AA","all/all","Simulation"
"residual_ljung_box_proportion_significant",0.013,"lower",5000,"proportion","","simulation","G_AA","all/all","Simulation"
"batch_weighted_pc_r2_categorical",0.000105489848278708,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","G_AA","all/all","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","G_AA","all/all","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","G_AA","all/all","Simulation"
"runtime_sec",13.973,"lower",1,"seconds","","simulation","G_AA","all/all","Simulation"
"drift_profiles_corrected",5000,"descriptive",5000,"profiles","","simulation","G_AA","all/all","Simulation"
"drift_features_corrected",1000,"descriptive",1000,"features","","simulation","G_AA","all/all","Simulation"
"batch_features_corrected",1000,"descriptive",1000,"features","","simulation","G_AA","all/all","Simulation"
"truth_metabolite_profile_icc_mean",0.909547858318861,"higher",1000,"ICC(A,1)","","simulation","G_AA","all/all","Simulation"
"truth_sample_profile_pearson_mean",0.913957044306018,"higher",450,"correlation","","simulation","G_AA","all/all","Simulation"
"truth_log1p_rmse",0.075859055149693,"lower",450000,"log1p intensity","","simulation","G_AA","all/all","Simulation"
"heldout_qc_cv_mean",28.75722275311,"lower",2488,"percent","","mtbls79","C0_RAW","Raw","MTBLS79"
"heldout_qc_cv_sd",19.850171192336,"lower",2488,"percent","","mtbls79","C0_RAW","Raw","MTBLS79"
"heldout_qc_cv_median",23.4934863428841,"lower",2488,"percent","","mtbls79","C0_RAW","Raw","MTBLS79"
"residual_run_order_gam_mean_deviance",0.14171601494383,"lower",19904,"proportion","","mtbls79","C0_RAW","Raw","MTBLS79"
"residual_run_order_gam_sd_deviance",0.170234776182955,"lower",19904,"proportion","","mtbls79","C0_RAW","Raw","MTBLS79"
"residual_ljung_box_proportion_significant",0.00296422829581994,"lower",19904,"proportion","","mtbls79","C0_RAW","Raw","MTBLS79"
"batch_weighted_pc_r2_categorical",0.36098533296055,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","C0_RAW","Raw","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","C0_RAW","Raw","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","C0_RAW","Raw","MTBLS79"
"runtime_sec",0,"lower",1,"seconds","","mtbls79","C0_RAW","Raw","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","C0_RAW","Raw","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","C0_RAW","Raw","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","C0_RAW","Raw","MTBLS79"
"biological_weighted_pc_r2",0.342783223437302,"higher",134,"weighted R-squared","","mtbls79","C0_RAW","Raw","MTBLS79"
"metabolite_icc_a1_median",0.548997409303439,"higher",2488,"ICC(A,1)","","mtbls79","C0_RAW","Raw","MTBLS79"
"sample_replicate_pearson_median",0.952320686738354,"higher",20,"correlation","","mtbls79","C0_RAW","Raw","MTBLS79"
"biological_associated_features",990,"context",2488,"features","","mtbls79","C0_RAW","Raw","MTBLS79"
"heldout_qc_cv_mean",27.5865055843937,"lower",2488,"percent","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"heldout_qc_cv_sd",17.1140524849193,"lower",2488,"percent","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"heldout_qc_cv_median",23.4475897689018,"lower",2488,"percent","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"residual_run_order_gam_mean_deviance",0.140717358977857,"lower",19904,"proportion","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"residual_run_order_gam_sd_deviance",0.169573479565617,"lower",19904,"proportion","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"residual_ljung_box_proportion_significant",0.00331591639871383,"lower",19904,"proportion","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"batch_weighted_pc_r2_categorical",0.357984777237142,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"runtime_sec",0.323,"lower",1,"seconds","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"biological_weighted_pc_r2",0.345429955300864,"higher",134,"weighted R-squared","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"metabolite_icc_a1_median",0.54081585592398,"higher",2488,"ICC(A,1)","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"sample_replicate_pearson_median",0.959213383538247,"higher",20,"correlation","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"biological_associated_features",994,"context",2488,"features","","mtbls79","C1_OUTLIER","Outlier","MTBLS79"
"heldout_qc_cv_mean",27.5561000009742,"lower",2488,"percent","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"heldout_qc_cv_sd",17.0818595521971,"lower",2488,"percent","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"heldout_qc_cv_median",23.4475897689018,"lower",2488,"percent","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"residual_run_order_gam_mean_deviance",0.139589741711729,"lower",19904,"proportion","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"residual_run_order_gam_sd_deviance",0.167654110028989,"lower",19904,"proportion","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"residual_ljung_box_proportion_significant",0.00231109324758842,"lower",19904,"proportion","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"batch_weighted_pc_r2_categorical",0.358249540457095,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"runtime_sec",4.081,"lower",1,"seconds","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"drift_profiles_corrected",52,"descriptive",19904,"profiles","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"drift_features_corrected",40,"descriptive",2488,"features","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"biological_weighted_pc_r2",0.345427199536838,"higher",134,"weighted R-squared","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"metabolite_icc_a1_median",0.540871105246711,"higher",2488,"ICC(A,1)","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"sample_replicate_pearson_median",0.959251739357713,"higher",20,"correlation","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"biological_associated_features",994,"context",2488,"features","","mtbls79","C2_SELECTIVE_DRIFT","+ selective drift","MTBLS79"
"heldout_qc_cv_mean",17.15852523133,"lower",2488,"percent","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"heldout_qc_cv_sd",9.74291471805806,"lower",2488,"percent","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"heldout_qc_cv_median",14.6702706829316,"lower",2488,"percent","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"residual_run_order_gam_mean_deviance",0.139589741711729,"lower",19904,"proportion","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"residual_run_order_gam_sd_deviance",0.167654110028989,"lower",19904,"proportion","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"residual_ljung_box_proportion_significant",0.00231109324758842,"lower",19904,"proportion","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"batch_weighted_pc_r2_categorical",0.0108579797120387,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"runtime_sec",7.46,"lower",1,"seconds","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"drift_profiles_corrected",52,"descriptive",19904,"profiles","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"drift_features_corrected",40,"descriptive",2488,"features","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"batch_features_corrected",1860,"descriptive",2488,"features","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"biological_weighted_pc_r2",0.469373203211969,"higher",134,"weighted R-squared","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"metabolite_icc_a1_median",0.663483714430044,"higher",2488,"ICC(A,1)","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"sample_replicate_pearson_median",0.975436813944675,"higher",20,"correlation","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"biological_associated_features",1001,"context",2488,"features","","mtbls79","C3_SELECTIVE_BATCH","+ selective batch","MTBLS79"
"heldout_qc_cv_mean",16.6785376235596,"lower",2488,"percent","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"heldout_qc_cv_sd",9.84009169616315,"lower",2488,"percent","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"heldout_qc_cv_median",14.2477224431198,"lower",2488,"percent","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"residual_run_order_gam_mean_deviance",0.140078697278888,"lower",19904,"proportion","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"residual_run_order_gam_sd_deviance",0.168153066112504,"lower",19904,"proportion","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"residual_ljung_box_proportion_significant",0.00221061093247588,"lower",19904,"proportion","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"batch_weighted_pc_r2_categorical",0.0108480104370861,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"runtime_sec",7.589,"lower",1,"seconds","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"drift_profiles_corrected",52,"descriptive",19904,"profiles","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"drift_features_corrected",40,"descriptive",2488,"features","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"batch_features_corrected",1860,"descriptive",2488,"features","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"biological_weighted_pc_r2",0.471479113913378,"higher",134,"weighted R-squared","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"metabolite_icc_a1_median",0.674414477673406,"higher",2488,"ICC(A,1)","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"sample_replicate_pearson_median",0.975436813944675,"higher",20,"correlation","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"biological_associated_features",1013,"context",2488,"features","","mtbls79","C4_FULL_FIXED","+ PQN","MTBLS79"
"heldout_qc_cv_mean",16.6785376235596,"lower",2488,"percent","","mtbls79","G_SS","selective/selective","MTBLS79"
"heldout_qc_cv_sd",9.84009169616315,"lower",2488,"percent","","mtbls79","G_SS","selective/selective","MTBLS79"
