"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset"
"residual_run_order_gam_mean_deviance",0.0533851989108539,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","Simulation"
"residual_run_order_gam_sd_deviance",0.0936286567526875,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rlsc","QC-RLSC","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rlsc","QC-RLSC","Simulation"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","qc_rlsc","QC-RLSC","Simulation"
"truth_log1p_rmse",0.0889256275915072,"lower",450000,"log1p intensity","","simulation","qc_rlsc","QC-RLSC","Simulation"
"truth_metabolite_profile_icc_mean",0.905483269655236,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","Simulation"
"truth_sample_profile_pearson_mean",0.907128419117509,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","Simulation"
"batch_weighted_pc_r2_categorical",0.144040149745443,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rfsc","QC-RFSC","Simulation"
"heldout_qc_cv_mean",14.7280131359941,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","Simulation"
"heldout_qc_cv_median",13.6739926774638,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","Simulation"
"heldout_qc_cv_sd",9.97640419493849,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","Simulation"
"residual_ljung_box_proportion_significant",0.2126,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","Simulation"
"residual_run_order_gam_mean_deviance",0.131085396618962,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","Simulation"
"residual_run_order_gam_sd_deviance",0.152511823326062,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rfsc","QC-RFSC","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rfsc","QC-RFSC","Simulation"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","qc_rfsc","QC-RFSC","Simulation"
"truth_log1p_rmse",0.194483540578911,"lower",450000,"log1p intensity","","simulation","qc_rfsc","QC-RFSC","Simulation"
"truth_metabolite_profile_icc_mean",0.697701425617728,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","Simulation"
"truth_sample_profile_pearson_mean",0.682481784426063,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","Simulation"
"batch_weighted_pc_r2_categorical",0.0856924649544889,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","tiger","TIGER","Simulation"
"heldout_qc_cv_mean",9.77314523581495,"lower",1000,"percent","","simulation","tiger","TIGER","Simulation"
"heldout_qc_cv_median",8.66752626251522,"lower",1000,"percent","","simulation","tiger","TIGER","Simulation"
"heldout_qc_cv_sd",9.90368666058103,"lower",1000,"percent","","simulation","tiger","TIGER","Simulation"
"residual_ljung_box_proportion_significant",0.1754,"lower",5000,"proportion","","simulation","tiger","TIGER","Simulation"
