"dataset_key","dataset","method_id","method","metric","value","denominator","units"
"clinical_fiams","Clinical FIA-MS","serrf","SERRF","runtime_sec",953.103,1,"seconds"
"clinical_fiams","Clinical FIA-MS","winn_auto_qc","WiNN auto (QC)","retained_features",1594,1594,"features"
"clinical_fiams","Clinical FIA-MS","winn_auto_qc","WiNN auto (QC)","retained_samples",660,660,"samples"
"clinical_fiams","Clinical FIA-MS","winn_auto_qc","WiNN auto (QC)","runtime_sec",28.834,1,"seconds"
"clinical_fiams","Clinical FIA-MS","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features",1594,1594,"features"
"clinical_fiams","Clinical FIA-MS","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples",660,660,"samples"
"clinical_fiams","Clinical FIA-MS","winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec",32.663,1,"seconds"
"clinical_fiams","Clinical FIA-MS","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features",1594,1594,"features"
"clinical_fiams","Clinical FIA-MS","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples",660,660,"samples"
"clinical_fiams","Clinical FIA-MS","winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec",10.922,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","raw","Raw","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","raw","Raw","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","raw","Raw","runtime_sec",0,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","combat","ComBat","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","combat","ComBat","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","combat","ComBat","runtime_sec",,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","qc_rlsc","QC-RLSC","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","qc_rlsc","QC-RLSC","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","qc_rlsc","QC-RLSC","runtime_sec",,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","qc_rfsc","QC-RFSC","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","qc_rfsc","QC-RFSC","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","qc_rfsc","QC-RFSC","runtime_sec",7.459,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","tiger","TIGER","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","tiger","TIGER","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","tiger","TIGER","runtime_sec",399.01,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","serrf","SERRF","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","serrf","SERRF","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","serrf","SERRF","runtime_sec",117.93,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","winn_auto_qc","WiNN auto (QC)","retained_features",199,199,"features"
"batchcorr_set1","BatchCorr Set 1","winn_auto_qc","WiNN auto (QC)","retained_samples",761,761,"samples"
"batchcorr_set1","BatchCorr Set 1","winn_auto_qc","WiNN auto (QC)","runtime_sec",5.721,1,"seconds"
"batchcorr_set1","BatchCorr Set 1","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features",199,199,"features"
