"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset"
"heldout_qc_cv_sd",9.80443202824766,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT07","Simulation"
"heldout_qc_cv_median",9.17090578303711,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT07","Simulation"
"residual_run_order_gam_mean_deviance",0.0851209647537417,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT07","Simulation"
"residual_run_order_gam_sd_deviance",0.129209134456424,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT07","Simulation"
"residual_ljung_box_proportion_significant",0.1774,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT07","Simulation"
"batch_weighted_pc_r2_categorical",0.0773984311153748,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SPLIT07","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","tiger","TIGER","SPLIT07","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","tiger","TIGER","SPLIT07","Simulation"
"runtime_sec",1661.909,"lower",1,"seconds","","simulation","tiger","TIGER","SPLIT07","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","tiger","TIGER","SPLIT07","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SPLIT07","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SPLIT07","Simulation"
"truth_metabolite_profile_icc_mean",0.873960108438641,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SPLIT07","Simulation"
"truth_sample_profile_pearson_mean",0.858953076842284,"higher",450,"correlation","","simulation","tiger","TIGER","SPLIT07","Simulation"
"truth_log1p_rmse",0.10946492948695,"lower",450000,"log1p intensity","","simulation","tiger","TIGER","SPLIT07","Simulation"
"heldout_qc_cv_mean",12.8273332294988,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT07","Simulation"
"heldout_qc_cv_sd",9.64793336513076,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT07","Simulation"
"heldout_qc_cv_median",11.4340635468204,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT07","Simulation"
"residual_run_order_gam_mean_deviance",0.0996797715749876,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT07","Simulation"
"residual_run_order_gam_sd_deviance",0.156282889709199,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT07","Simulation"
"residual_ljung_box_proportion_significant",0.199,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT07","Simulation"
"batch_weighted_pc_r2_categorical",0.000736598667727871,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SPLIT07","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","serrf","SERRF","SPLIT07","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","serrf","SERRF","SPLIT07","Simulation"
"runtime_sec",313.016,"lower",1,"seconds","","simulation","serrf","SERRF","SPLIT07","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","serrf","SERRF","SPLIT07","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SPLIT07","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SPLIT07","Simulation"
"truth_metabolite_profile_icc_mean",0.88820858289124,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SPLIT07","Simulation"
"truth_sample_profile_pearson_mean",0.88028006254679,"higher",450,"correlation","","simulation","serrf","SERRF","SPLIT07","Simulation"
"truth_log1p_rmse",0.0950210778347547,"lower",450000,"log1p intensity","","simulation","serrf","SERRF","SPLIT07","Simulation"
"heldout_qc_cv_mean",8.73729837167429,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"heldout_qc_cv_sd",6.18484228601927,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"heldout_qc_cv_median",7.75319448545024,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"residual_run_order_gam_mean_deviance",0.0190579357766921,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"residual_run_order_gam_sd_deviance",0.0319718055992031,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"residual_ljung_box_proportion_significant",0.0086,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"batch_weighted_pc_r2_categorical",0.000998714929336163,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"runtime_sec",19.587,"lower",1,"seconds","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"drift_profiles_corrected",1566,"descriptive",5000,"profiles","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"drift_features_corrected",696,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"batch_features_corrected",721,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"truth_metabolite_profile_icc_mean",0.922322510311373,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"truth_sample_profile_pearson_mean",0.925989719304605,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"truth_log1p_rmse",0.0715935665396085,"lower",450000,"log1p intensity","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT07","Simulation"
"heldout_qc_cv_mean",14.7649046420766,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"heldout_qc_cv_sd",9.65873964312324,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"heldout_qc_cv_median",13.2414133633005,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"residual_run_order_gam_mean_deviance",0.138876924422289,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"residual_run_order_gam_sd_deviance",0.179876436537435,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"residual_ljung_box_proportion_significant",0.231,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"batch_weighted_pc_r2_categorical",0.190354701574515,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"runtime_sec",22.111,"lower",1,"seconds","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"drift_profiles_corrected",1647,"descriptive",5000,"profiles","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"drift_features_corrected",884,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"batch_features_corrected",703,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"truth_metabolite_profile_icc_mean",0.858225176544636,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"truth_sample_profile_pearson_mean",0.86855524381798,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"truth_log1p_rmse",0.102733390808236,"lower",450000,"log1p intensity","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT07","Simulation"
"heldout_qc_cv_mean",8.74938299514179,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"heldout_qc_cv_sd",6.25067957794743,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"heldout_qc_cv_median",7.6585362529817,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"runtime_sec",7.065,"lower",1,"seconds","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT07","Simulation"
"heldout_qc_cv_mean",45.2045553237214,"lower",1000,"percent","","simulation","raw","Raw","SPLIT08","Simulation"
"heldout_qc_cv_sd",31.0466423569008,"lower",1000,"percent","","simulation","raw","Raw","SPLIT08","Simulation"
"heldout_qc_cv_median",43.1340177019265,"lower",1000,"percent","","simulation","raw","Raw","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.197313555439377,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","raw","Raw","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","raw","Raw","SPLIT08","Simulation"
"runtime_sec",0.055,"lower",1,"seconds","","simulation","raw","Raw","SPLIT08","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","raw","Raw","SPLIT08","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SPLIT08","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","raw","Raw","SPLIT08","Simulation"
"truth_log1p_rmse",0.290839531888212,"lower",450000,"log1p intensity","","simulation","raw","Raw","SPLIT08","Simulation"
"heldout_qc_cv_mean",13.3454644832862,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT08","Simulation"
"heldout_qc_cv_sd",10.3199131447233,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT08","Simulation"
"heldout_qc_cv_median",12.1691091216089,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.197313916613525,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.000103519147488483,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","combat","ComBat","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","combat","ComBat","SPLIT08","Simulation"
"runtime_sec",2.138,"lower",1,"seconds","","simulation","combat","ComBat","SPLIT08","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","combat","ComBat","SPLIT08","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SPLIT08","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.879386831580911,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.881066706839948,"higher",450,"correlation","","simulation","combat","ComBat","SPLIT08","Simulation"
"truth_log1p_rmse",0.103140426488342,"lower",450000,"log1p intensity","","simulation","combat","ComBat","SPLIT08","Simulation"
"heldout_qc_cv_mean",10.3754726631666,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"heldout_qc_cv_sd",7.90637920437456,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"heldout_qc_cv_median",7.75049135360683,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.0483406952812169,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.0824013181518992,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.0556,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.000115329626365889,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"runtime_sec",5.342,"lower",1,"seconds","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.910197079945033,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.911327177197855,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"truth_log1p_rmse",0.0865171518019014,"lower",450000,"log1p intensity","","simulation","qc_rlsc","QC-RLSC","SPLIT08","Simulation"
"heldout_qc_cv_mean",14.0019178064966,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"heldout_qc_cv_sd",12.7308026772751,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"heldout_qc_cv_median",12.6571726411702,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.119999955230393,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.137924776182206,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.1846,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.158051691188435,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"runtime_sec",32.202,"lower",1,"seconds","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.704497440816362,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.665291602800663,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"truth_log1p_rmse",0.200918574342207,"lower",450000,"log1p intensity","","simulation","qc_rfsc","QC-RFSC","SPLIT08","Simulation"
"heldout_qc_cv_mean",9.19246967068656,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT08","Simulation"
"heldout_qc_cv_sd",9.44937082898924,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT08","Simulation"
"heldout_qc_cv_median",8.20030896341875,"lower",1000,"percent","","simulation","tiger","TIGER","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.083784761818831,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.126978976267484,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.174,"lower",5000,"proportion","","simulation","tiger","TIGER","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.0222351653685534,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","tiger","TIGER","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","tiger","TIGER","SPLIT08","Simulation"
"runtime_sec",1592.954,"lower",1,"seconds","","simulation","tiger","TIGER","SPLIT08","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","tiger","TIGER","SPLIT08","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SPLIT08","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.876228547112114,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.859738550640275,"higher",450,"correlation","","simulation","tiger","TIGER","SPLIT08","Simulation"
"truth_log1p_rmse",0.109101366810655,"lower",450000,"log1p intensity","","simulation","tiger","TIGER","SPLIT08","Simulation"
"heldout_qc_cv_mean",13.0729275820881,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT08","Simulation"
"heldout_qc_cv_sd",10.0441517701889,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT08","Simulation"
"heldout_qc_cv_median",11.0963367909873,"lower",1000,"percent","","simulation","serrf","SERRF","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.0983444529314826,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.155074503788826,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.196,"lower",5000,"proportion","","simulation","serrf","SERRF","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.000523725948280568,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","serrf","SERRF","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","serrf","SERRF","SPLIT08","Simulation"
"runtime_sec",306.985,"lower",1,"seconds","","simulation","serrf","SERRF","SPLIT08","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","serrf","SERRF","SPLIT08","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SPLIT08","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.888757303031185,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.880728875690828,"higher",450,"correlation","","simulation","serrf","SERRF","SPLIT08","Simulation"
"truth_log1p_rmse",0.0948184214984961,"lower",450000,"log1p intensity","","simulation","serrf","SERRF","SPLIT08","Simulation"
"heldout_qc_cv_mean",8.81834523848638,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"heldout_qc_cv_sd",6.28868732789797,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"heldout_qc_cv_median",7.79912442887785,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.0190512552290531,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.0319750618724273,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.0086,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.000997935674833738,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"runtime_sec",18.123,"lower",1,"seconds","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"drift_profiles_corrected",1566,"descriptive",5000,"profiles","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"drift_features_corrected",696,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"batch_features_corrected",721,"descriptive",1000,"features","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.922328102932404,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.925989798306098,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"truth_log1p_rmse",0.0715895120004984,"lower",450000,"log1p intensity","","simulation","winn_auto_qc","WiNN auto (QC)","SPLIT08","Simulation"
"heldout_qc_cv_mean",14.2531054175399,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"heldout_qc_cv_sd",8.35282087014232,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"heldout_qc_cv_median",14.0463234731505,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.138892923691596,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.179870186884855,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"residual_ljung_box_proportion_significant",0.2308,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"batch_weighted_pc_r2_categorical",0.190350295143428,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"runtime_sec",19.336,"lower",1,"seconds","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"drift_profiles_corrected",1647,"descriptive",5000,"profiles","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"drift_features_corrected",884,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"batch_features_corrected",703,"descriptive",1000,"features","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"truth_metabolite_profile_icc_mean",0.858222058558431,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"truth_sample_profile_pearson_mean",0.868554921727617,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"truth_log1p_rmse",0.102734286129081,"lower",450000,"log1p intensity","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT08","Simulation"
"heldout_qc_cv_mean",8.8713281400418,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation"
"heldout_qc_cv_sd",6.36859239661625,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation"
"heldout_qc_cv_median",7.85626246056199,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT08","Simulation"
